"Mol_ID","Gene_symbol","Data_base"
"tcm04075","NOS2","TCMSP"
"tcm04075","AR","TCMSP"
"tcm04075","F10","TCMSP"
"tcm04075","TOP2","TCMSP"
"tcm04075","PTGS2","TCMSP"
"tcm04075","F7","TCMSP"
"tcm04075","TOP2A","TCMSP"
"tcm04075","ESR2","TCMSP"
"tcm04075","DPP4","TCMSP"
"tcm04075","HSP90","TCMSP"
"tcm04075","PRSS1","TCMSP"
"tcm04075","NCOA2","TCMSP"
"tcm04075","CALM","TCMSP"
"tcm04075","CALM1","TCMSP"
"tcm04075","CAML1","TCMSP"
"tcm04075","F2","TCMSP"
"tcm04075","SCN5A","TCMSP"
"tcm04075","KDR","TCMSP"
"tcm04075","PPARD","TCMSP"
"tcm04097","TOP2","TCMSP"
"tcm04097","TOP2A","TCMSP"
"tcm04106","PTGS1","TCMSP"
"tcm04106","PTGS2","TCMSP"
"tcm04106","HSP90","TCMSP"
"tcm04106","PIK3CG","TCMSP"
"tcm04106","NCOA2","TCMSP"
"tcm04106","AKR1B1","TCMSP"
"tcm04106","JUN","TCMSP"
"tcm04118","TOP2","TCMSP"
"tcm04118","TOP2A","TCMSP"
"tcm04119","NOS2","TCMSP"
"tcm04119","PTGS1","TCMSP"
"tcm04119","ESR1","TCMSP"
"tcm04119","PTGS2","TCMSP"
"tcm04119","ESR2","TCMSP"
"tcm04119","HSP90","TCMSP"
"tcm04119","PIK3CG","TCMSP"
"tcm04119","CHEK1","TCMSP"
"tcm04119","PRKACA","TCMSP"
"tcm04126","TOP2","TCMSP"
"tcm04126","TOP2A","TCMSP"
"tcm04133","PGR","TCMSP"
"tcm04133","PR","TCMSP"
"tcm04133","NCOA2","TCMSP"
"tcm00243","PGR","TCMSP"
"tcm00243","PR","TCMSP"
"tcm00243","NCOA2","TCMSP"
"tcm00243","PTGS1","TCMSP"
"tcm00243","PTGS2","TCMSP"
"tcm00243","HSP90","TCMSP"
"tcm00243","PIK3CG","TCMSP"
"tcm00243","KCNH2","TCMSP"
"tcm00243","PRKACA","TCMSP"
"tcm00243","D1R","TCMSP"
"tcm00243","DRD1","TCMSP"
"tcm00243","CHRM3","TCMSP"
"tcm00243","CHRM1","TCMSP"
"tcm00243","SCN5A","TCMSP"
"tcm00243","GABRA2 ","TCMSP"
"tcm00243","GABRA2","TCMSP"
"tcm00243","CHRM4","TCMSP"
"tcm00243","PDE3A","TCMSP"
"tcm00243","HTR2A","TCMSP"
"tcm00243","GABRA5","TCMSP"
"tcm00243","ADRA1A","TCMSP"
"tcm00243","GABRA3","TCMSP"
"tcm00243","GABRA23","TCMSP"
"tcm00243","CHRM2","TCMSP"
"tcm00243","ADRA1B","TCMSP"
"tcm00243","ADRB2","TCMSP"
"tcm00243","CHRNA2","TCMSP"
"tcm00243","SLC6A4","TCMSP"
"tcm00243","OPRM1","TCMSP"
"tcm00243","GABRA1","TCMSP"
"tcm00243","CHRNA7","TCMSP"
"tcm00243","CYP101","TCMSP"
"tcm00243","CYP101A1","TCMSP"
"tcm00243","BCL2","TCMSP"
"tcm00243","BAX","TCMSP"
"tcm00243","CASP9","TCMSP"
"tcm00243","JUN","TCMSP"
"tcm00243","CASP3","TCMSP"
"tcm00243","CASP8","TCMSP"
"tcm00243","PRKCA","TCMSP"
"tcm00243","TGFB1","TCMSP"
"tcm00243","PON1","TCMSP"
"tcm00243","MAP2","TCMSP"
"tcm02677","PTGS1","TCMSP"
"tcm02677","PTGS2","TCMSP"
"tcm02677","HSP90","TCMSP"
"tcm02677","PIK3CG","TCMSP"
"tcm02677","PRKACA","TCMSP"
"tcm02677","NCOA2","TCMSP"
"tcm02677","PKIA","TCMSP"
"tcm02677","AKR1B1","TCMSP"
"tcm02677","IGHG1","TCMSP"
"tcm02677","CDKN1A","TCMSP"
"tcm02677","EIF6","TCMSP"
"tcm02677","BAX","TCMSP"
"tcm02677","TNF","TCMSP"
"tcm02677","CASP3","TCMSP"
"tcm02677","TP53","TCMSP"
"tcm02677","FASN","TCMSP"
"tcm02677","PRKCA","TCMSP"
"tcm02677","PRKCE","TCMSP"
"tcm02677","CDC2","TCMSP"
"tcm02677","PCNA","TCMSP"
"tcm02677","MYC","TCMSP"
"tcm02677","IL1B","TCMSP"
"tcm02677","PRKCD","TCMSP"
"tcm02677","CCNB1","TCMSP"
"tcm02759","PTGS1","TCMSP"
"tcm02759","ESR1","TCMSP"
"tcm02759","PTGS2","TCMSP"
"tcm02759","HSP90","TCMSP"
"tcm02759","BLAC","TCMSP"
"tcm02759","PRKACA","TCMSP"
"tcm02759","NCOA2","TCMSP"
"tcm02759","CALM","TCMSP"
"tcm02759","CALM1","TCMSP"
"tcm02759","CAML1","TCMSP"
"tcm02759","FASN","TCMSP"
"tcm02759","PPARG","TCMSP"
"tcm02759","KLF7","TCMSP"
"tcm00210","PTGS1","TCMSP"
"tcm00210","PTGS2","TCMSP"
"tcm00210","NCOA2","TCMSP"
"tcm01925","NOS2","TCMSP"
"tcm01925","PTGS1","TCMSP"
"tcm01925","PTGS2","TCMSP"
"tcm01925","DPP4","TCMSP"
"tcm01925","HSP90","TCMSP"
"tcm01925","PRKACA","TCMSP"
"tcm01925","PRSS1","TCMSP"
"tcm01925","NCOA2","TCMSP"
"tcm01925","NCOA1","TCMSP"
"tcm01925","CALM","TCMSP"
"tcm01925","CALM1","TCMSP"
"tcm01925","CAML1","TCMSP"
"tcm01185","PGR","TCMSP"
"tcm01185","PR","TCMSP"
"tcm01185","NR3C2","TCMSP"
"tcm01185","MR","TCMSP"
"tcm01185","NCOA2","TCMSP"
"tcm01931","NOS2","TCMSP"
"tcm01931","PTGS1","TCMSP"
"tcm01931","PTGS2","TCMSP"
"tcm01931","DPP4","TCMSP"
"tcm01931","HSP90","TCMSP"
"tcm01931","PRKACA","TCMSP"
"tcm01931","PRSS1","TCMSP"
"tcm01931","NCOA2","TCMSP"
"tcm01931","CALM","TCMSP"
"tcm01931","CALM1","TCMSP"
"tcm01931","CAML1","TCMSP"
"tcm01931","PIK3CG","TCMSP"
"tcm06599","PGR","TCMSP"
"tcm06599","PR","TCMSP"
"tcm06599","NCOA2","TCMSP"
"tcm06604","PGR","TCMSP"
"tcm06604","PR","TCMSP"
"tcm06604","NR3C2","TCMSP"
"tcm06604","MR","TCMSP"
"tcm06609","NR3C1","TCMSP"
"tcm06610","NR3C2","TCMSP"
"tcm06610","MR","TCMSP"
"tcm06617","PTGS1","TCMSP"
"tcm06617","PTGS2","TCMSP"
"tcm06618","F10","TCMSP"
"tcm06618","TOP2","TCMSP"
"tcm00490","ABAT","TCMSP"
"tcm00490","ABL1","TCMSP"
"tcm00490","ACADSB","TCMSP"
"tcm00490","ACOX1","TCMSP"
"tcm00490","ACSL3","TCMSP"
"tcm00490","ACSL4","TCMSP"
"tcm00490","ADH5","TCMSP"
"tcm00490","ALDH5A1","TCMSP"
"tcm00490","ARF1","TCMSP"
"tcm00490","ARF6","TCMSP"
"tcm00490","C8G","TCMSP"
"tcm00490","CALM1","TCMSP"
"tcm00490","CNR1","TCMSP"
"tcm00490","CNR2","TCMSP"
"tcm00490","CYP2C8","TCMSP"
"tcm00490","ECI2","TCMSP"
"tcm00490","ELOVL4","TCMSP"
"tcm00490","FADS1","TCMSP"
"tcm00490","FADS2","TCMSP"
"tcm00490","FFAR1","TCMSP"
"tcm00490","FKBP1A","TCMSP"
"tcm00490","FURIN","TCMSP"
"tcm00490","GLTP","TCMSP"
"tcm00490","GM2A","TCMSP"
"tcm00490","GUCA1A","TCMSP"
"tcm00490","HAO1","TCMSP"
"tcm00490","HDAC2","TCMSP"
"tcm00490","HDAC9","TCMSP"
"tcm00490","HNF4A","TCMSP"
"tcm00490","HNF4G","TCMSP"
"tcm00490","INS","TCMSP"
"tcm00490","LALBA","TCMSP"
"tcm00490","LIP3","TCMSP"
"tcm00490","LTB4R","TCMSP"
"tcm00490","LTB4R2","TCMSP"
"tcm00490","LTF","TCMSP"
"tcm00490","LY96","TCMSP"
"tcm00490","NCOA1","TCMSP"
"tcm00490","NR1H4","TCMSP"
"tcm00490","OGDH","TCMSP"
"tcm00490","PAEP","TCMSP"
"tcm00490","PKIA","TCMSP"
"tcm00490","PLA2G1B","TCMSP"
"tcm00490","PLA2G2A","TCMSP"
"tcm00490","PLA2G2D","TCMSP"
"tcm00490","PLA2G2E","TCMSP"
"tcm00490","PMP2","TCMSP"
"tcm00490","PPARA","TCMSP"
"tcm00490","PPARD","TCMSP"
"tcm00490","PPARG","TCMSP"
"tcm00490","PPA_RS05235","TCMSP"
"tcm00490","PPP3CA","TCMSP"
"tcm00490","PPP3R1","TCMSP"
"tcm00490","PPT1","TCMSP"
"tcm00490","PRKACA","TCMSP"
"tcm00490","PTGS1","TCMSP"
"tcm00490","PTGS2","TCMSP"
"tcm00490","PVR","TCMSP"
"tcm00490","RCVRN","TCMSP"
"tcm00490","RHO","TCMSP"
"tcm00490","RXRA","TCMSP"
"tcm00490","RXRB","TCMSP"
"tcm00490","RXRG","TCMSP"
"tcm00490","S100B","TCMSP"
"tcm00490","SCN10A","TCMSP"
"tcm00490","SCN11A","TCMSP"
"tcm00490","SCN1A","TCMSP"
"tcm00490","SCN1B","TCMSP"
"tcm00490","SCN2A","TCMSP"
"tcm00490","SCN2B","TCMSP"
"tcm00490","SCN3A","TCMSP"
"tcm00490","SCN3B","TCMSP"
"tcm00490","SCN4A","TCMSP"
"tcm00490","SCN4B","TCMSP"
