"ONTOLOGY","GOID","Description","GeneRatio","BgRatio","pvalue","padj","qvalue","geneID","Gene_symbol","Count"
"BP","GO:0032102","negative regulation of response to external stimulus","10/35","452/18860",6.07757424670652e-09,9.94898904185857e-06,5.77689425765893e-06,"240/383/1803/5045/2950/4057/1432/5292/5580/6095","ALOX5/ARG1/DPP4/FURIN/GSTP1/LTF/MAPK14/PIM1/PRKCD/RORA",10
"BP","GO:0006631","fatty acid metabolic process","9/35","421/18860",5.33440426578005e-08,3.51176583785772e-05,2.03911169442531e-05,"2181/2182/231/240/3992/2194/2950/3553/1432","ACSL3/ACSL4/AKR1B1/ALOX5/FADS1/FASN/GSTP1/IL1B/MAPK14",9
"BP","GO:0031348","negative regulation of defense response","8/35","313/18860",8.38848667379288e-08,3.51176583785772e-05,2.03911169442531e-05,"240/383/5045/2950/1432/5292/5580/6095","ALOX5/ARG1/FURIN/GSTP1/MAPK14/PIM1/PRKCD/RORA",8
"BP","GO:0033559","unsaturated fatty acid metabolic process","6/35","121/18860",8.58097944497915e-08,3.51176583785772e-05,2.03911169442531e-05,"2182/231/240/3992/2950/3553","ACSL4/AKR1B1/ALOX5/FADS1/GSTP1/IL1B",6
"BP","GO:0050727","regulation of inflammatory response","9/35","460/18860",1.13552917523641e-07,3.71772251972399e-05,2.15870072681784e-05,"240/5045/2950/3553/3957/1432/4792/5580/6095","ALOX5/FURIN/GSTP1/IL1B/LGALS2/MAPK14/NFKBIA/PRKCD/RORA",9
"BP","GO:0071222","cellular response to lipopolysaccharide","7/35","229/18860",1.78755023336222e-07,4.87703288668993e-05,2.83185589601068e-05,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:0071219","cellular response to molecule of bacterial origin","7/35","247/18860",2.98551253462239e-07,6.9818343131098e-05,4.05401175753988e-05,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:0071216","cellular response to biotic stimulus","7/35","274/18860",6.0082349273437e-07,0.000112740689496257,6.54630374016141e-05,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:0120254","olefinic compound metabolic process","6/35","169/18860",6.19832746161462e-07,0.000112740689496257,6.54630374016141e-05,"2182/231/216/240/3992/2950","ACSL4/AKR1B1/ALDH1A1/ALOX5/FADS1/GSTP1",6
"BP","GO:0042759","long-chain fatty acid biosynthetic process","4/35","40/18860",8.65980824683745e-07,0.000137846519528323,8.0040772358985e-05,"2182/240/3992/2950","ACSL4/ALOX5/FADS1/GSTP1",4
"BP","GO:0006633","fatty acid biosynthetic process","6/35","181/18860",9.26274718883049e-07,0.000137846519528323,8.0040772358985e-05,"2182/240/3992/2194/2950/3553","ACSL4/ALOX5/FADS1/FASN/GSTP1/IL1B",6
"BP","GO:0001676","long-chain fatty acid metabolic process","5/35","110/18860",1.73908565157839e-06,0.000237240267636152,0.000137753889769762,"2181/2182/240/3992/2950","ACSL3/ACSL4/ALOX5/FADS1/GSTP1",5
"BP","GO:0050728","negative regulation of inflammatory response","6/35","210/18860",2.19977326891158e-06,0.000277002218554481,0.000160841721605438,"240/5045/2950/1432/5580/6095","ALOX5/FURIN/GSTP1/MAPK14/PRKCD/RORA",6
"BP","GO:0046394","carboxylic acid biosynthetic process","7/35","339/18860",2.48528330388819e-06,0.000284810164330064,0.000165375416127092,"2182/216/240/3992/2194/2950/3553","ACSL4/ALDH1A1/ALOX5/FADS1/FASN/GSTP1/IL1B",7
"BP","GO:0016053","organic acid biosynthetic process","7/35","342/18860",2.63445724073171e-06,0.000284810164330064,0.000165375416127092,"2182/216/240/3992/2194/2950/3553","ACSL4/ALDH1A1/ALOX5/FADS1/FASN/GSTP1/IL1B",7
"BP","GO:0046822","regulation of nucleocytoplasmic transport","5/35","121/18860",2.7837279348082e-06,0.000284810164330064,0.000165375416127092,"3553/1432/4792/5501/5580","IL1B/MAPK14/NFKBIA/PPP1CC/PRKCD",5
"BP","GO:0032496","response to lipopolysaccharide","7/35","350/18860",3.06934009359865e-06,0.000295559396071823,0.000171616972416073,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:0006690","icosanoid metabolic process","5/35","128/18860",3.67049451172705e-06,0.000333811084205399,0.000193827868075411,"231/240/3992/2950/3553","AKR1B1/ALOX5/FADS1/GSTP1/IL1B",5
"BP","GO:0072330","monocarboxylic acid biosynthetic process","6/35","237/18860",4.42197044713741e-06,0.000380987664313892,0.000221221014613024,"2182/240/3992/2194/2950/3553","ACSL4/ALOX5/FADS1/FASN/GSTP1/IL1B",6
"BP","GO:0002237","response to molecule of bacterial origin","7/35","375/18860",4.83392106908717e-06,0.000395656439504785,0.000229738459230827,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:1901570","fatty acid derivative biosynthetic process","4/35","62/18860",5.13517331527349e-06,0.0004002989865287,0.000232434160586063,"2181/2182/240/2194","ACSL3/ACSL4/ALOX5/FASN",4
"BP","GO:0031663","lipopolysaccharide-mediated signaling pathway","4/35","64/18860",5.8335104736795e-06,0.000434066211155152,0.000252041146302995,"4057/23643/1432/4792","LTF/LY96/MAPK14/NFKBIA",4
"BP","GO:2000377","regulation of reactive oxygen species metabolic process","5/35","150/18860",7.97132100507511e-06,0.000567350108056868,0.000329432625518665,"240/2950/3934/1432/5580","ALOX5/GSTP1/LCN2/MAPK14/PRKCD",5
"BP","GO:2000379","positive regulation of reactive oxygen species metabolic process","4/35","71/18860",8.83902162879824e-06,0.000602894933597613,0.000350071777666878,"2950/3934/1432/5580","GSTP1/LCN2/MAPK14/PRKCD",4
"BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","3/35","23/18860",1.01080198759941e-05,0.000661873141480093,0.000384317555706217,"9377/1349/1350","COX5A/COX7B/COX7C",3
"BP","GO:0051223","regulation of protein transport","7/35","458/18860",1.77514832603489e-05,0.00111766069604582,0.000648971230125307,"2181/2182/240/3553/1432/4792/5580","ACSL3/ACSL4/ALOX5/IL1B/MAPK14/NFKBIA/PRKCD",7
"BP","GO:0046949","fatty-acyl-CoA biosynthetic process","3/35","28/18860",1.85792663502755e-05,0.00112645403760745,0.000654077096074028,"2181/2182/2194","ACSL3/ACSL4/FASN",3
"BP","GO:0043604","amide biosynthetic process","5/35","185/18860",2.19949695614933e-05,0.00128592018472016,0.000746671335113851,"2181/2182/383/2194/5580","ACSL3/ACSL4/ARG1/FASN/PRKCD",5
"BP","GO:1901568","fatty acid derivative metabolic process","4/35","91/18860",2.36823651380757e-05,0.00133682868038034,0.000776231423581936,"2181/2182/240/2194","ACSL3/ACSL4/ALOX5/FASN",4
"BP","GO:0071347","cellular response to interleukin-1","4/35","95/18860",2.80612370262195e-05,0.00153120816706405,0.000889098141567588,"3553/3934/4792/6095","IL1B/LCN2/NFKBIA/RORA",4
