"Gene_symbol","XBCQD","SA_ALI"
"NOS2","TRUE","FALSE"
"AR","TRUE","FALSE"
"F10","TRUE","FALSE"
"TOP2","TRUE","FALSE"
"PTGS2","TRUE","FALSE"
"F7","TRUE","FALSE"
"TOP2A","TRUE","TRUE"
"ESR2","TRUE","FALSE"
"DPP4","TRUE","TRUE"
"HSP90","TRUE","FALSE"
"PRSS1","TRUE","FALSE"
"NCOA2","TRUE","FALSE"
"CALM","TRUE","FALSE"
"CALM1","TRUE","FALSE"
"CAML1","TRUE","FALSE"
"F2","TRUE","FALSE"
"SCN5A","TRUE","FALSE"
"KDR","TRUE","FALSE"
"PPARD","TRUE","FALSE"
"PTGS1","TRUE","FALSE"
"PIK3CG","TRUE","FALSE"
"AKR1B1","TRUE","TRUE"
"JUN","TRUE","FALSE"
"ESR1","TRUE","FALSE"
"CHEK1","TRUE","FALSE"
"PRKACA","TRUE","FALSE"
"PGR","TRUE","FALSE"
"PR","TRUE","FALSE"
"KCNH2","TRUE","FALSE"
"D1R","TRUE","FALSE"
"DRD1","TRUE","FALSE"
"CHRM3","TRUE","FALSE"
"CHRM1","TRUE","FALSE"
"GABRA2 ","TRUE","FALSE"
"GABRA2","TRUE","FALSE"
"CHRM4","TRUE","FALSE"
"PDE3A","TRUE","FALSE"
"HTR2A","TRUE","FALSE"
"GABRA5","TRUE","FALSE"
"ADRA1A","TRUE","FALSE"
"GABRA3","TRUE","FALSE"
"GABRA23","TRUE","FALSE"
"CHRM2","TRUE","FALSE"
"ADRA1B","TRUE","FALSE"
"ADRB2","TRUE","TRUE"
"CHRNA2","TRUE","FALSE"
"SLC6A4","TRUE","FALSE"
"OPRM1","TRUE","FALSE"
"GABRA1","TRUE","FALSE"
"CHRNA7","TRUE","FALSE"
"CYP101","TRUE","FALSE"
"CYP101A1","TRUE","FALSE"
"BCL2","TRUE","FALSE"
"BAX","TRUE","FALSE"
"CASP9","TRUE","FALSE"
"CASP3","TRUE","FALSE"
"CASP8","TRUE","FALSE"
"PRKCA","TRUE","FALSE"
"TGFB1","TRUE","FALSE"
"PON1","TRUE","FALSE"
"MAP2","TRUE","FALSE"
"PKIA","TRUE","FALSE"
"IGHG1","TRUE","FALSE"
"CDKN1A","TRUE","FALSE"
"EIF6","TRUE","FALSE"
"TNF","TRUE","FALSE"
"TP53","TRUE","FALSE"
"FASN","TRUE","TRUE"
"PRKCE","TRUE","FALSE"
"CDC2","TRUE","FALSE"
"PCNA","TRUE","FALSE"
"MYC","TRUE","TRUE"
"IL1B","TRUE","TRUE"
"PRKCD","TRUE","TRUE"
"CCNB1","TRUE","FALSE"
"BLAC","TRUE","FALSE"
"PPARG","TRUE","FALSE"
"KLF7","TRUE","FALSE"
"NCOA1","TRUE","FALSE"
"NR3C2","TRUE","FALSE"
"MR","TRUE","FALSE"
"NR3C1","TRUE","FALSE"
"ABAT","TRUE","FALSE"
"ABL1","TRUE","FALSE"
"ACADSB","TRUE","FALSE"
"ACOX1","TRUE","FALSE"
"ACSL3","TRUE","TRUE"
"ACSL4","TRUE","TRUE"
"ADH5","TRUE","FALSE"
"ALDH5A1","TRUE","FALSE"
"ARF1","TRUE","FALSE"
"ARF6","TRUE","FALSE"
"C8G","TRUE","FALSE"
"CNR1","TRUE","FALSE"
"CNR2","TRUE","FALSE"
"CYP2C8","TRUE","FALSE"
"ECI2","TRUE","FALSE"
"ELOVL4","TRUE","FALSE"
"FADS1","TRUE","TRUE"
"FADS2","TRUE","FALSE"
"FFAR1","TRUE","FALSE"
"FKBP1A","TRUE","FALSE"
"FURIN","TRUE","TRUE"
"GLTP","TRUE","FALSE"
"GM2A","TRUE","FALSE"
"GUCA1A","TRUE","FALSE"
"HAO1","TRUE","FALSE"
"HDAC2","TRUE","FALSE"
"HDAC9","TRUE","FALSE"
"HNF4A","TRUE","FALSE"
"HNF4G","TRUE","FALSE"
"INS","TRUE","FALSE"
"LALBA","TRUE","FALSE"
"LIP3","TRUE","FALSE"
"LTB4R","TRUE","TRUE"
"LTB4R2","TRUE","FALSE"
"LTF","TRUE","TRUE"
"LY96","TRUE","TRUE"
"NR1H4","TRUE","FALSE"
"OGDH","TRUE","FALSE"
"PAEP","TRUE","FALSE"
"PLA2G1B","TRUE","FALSE"
"PLA2G2A","TRUE","FALSE"
"PLA2G2D","TRUE","FALSE"
"PLA2G2E","TRUE","FALSE"
"PMP2","TRUE","FALSE"
"PPARA","TRUE","FALSE"
"PPA_RS05235","TRUE","FALSE"
"PPP3CA","TRUE","FALSE"
"PPP3R1","TRUE","FALSE"
"PPT1","TRUE","FALSE"
"PVR","TRUE","FALSE"
"RCVRN","TRUE","FALSE"
"RHO","TRUE","FALSE"
"RXRA","TRUE","FALSE"
"RXRB","TRUE","FALSE"
"RXRG","TRUE","FALSE"
"S100B","TRUE","FALSE"
"SCN10A","TRUE","FALSE"
"SCN11A","TRUE","FALSE"
"SCN1A","TRUE","FALSE"
"SCN1B","TRUE","FALSE"
"SCN2A","TRUE","FALSE"
"SCN2B","TRUE","FALSE"
"SCN3A","TRUE","FALSE"
"SCN3B","TRUE","FALSE"
"SCN4A","TRUE","FALSE"
"SCN4B","TRUE","FALSE"
"SCN7A","TRUE","FALSE"
"SCN8A","TRUE","FALSE"
"SCN9A","TRUE","FALSE"
"SEC14L2","TRUE","FALSE"
"SLC8A1","TRUE","FALSE"
"SREBF1","TRUE","FALSE"
"TLR4","TRUE","FALSE"
"TM1468","TRUE","FALSE"
"TRAPPC3","TRUE","FALSE"
"TRPV1","TRUE","FALSE"
"VLDLR","TRUE","FALSE"
"AKR1C1","TRUE","FALSE"
"AKR1C2","TRUE","FALSE"
"CLEC4E","TRUE","TRUE"
"CYP27B1","TRUE","FALSE"
"GABRA4","TRUE","FALSE"
"GABRA6","TRUE","FALSE"
"GABRB1","TRUE","FALSE"
"GABRB2","TRUE","FALSE"
"GABRB3","TRUE","FALSE"
"GABRD","TRUE","FALSE"
"GABRE","TRUE","FALSE"
"GABRG1","TRUE","FALSE"
"GABRG2","TRUE","FALSE"
"GABRG3","TRUE","FALSE"
"GABRP","TRUE","FALSE"
"GABRQ","TRUE","FALSE"
"GRIN1","TRUE","FALSE"
"GRIN2A","TRUE","FALSE"
"GRIN2B","TRUE","FALSE"
"GRIN2C","TRUE","FALSE"
"GRIN2D","TRUE","FALSE"
"GRIN3A","TRUE","FALSE"
"GRIN3B","TRUE","FALSE"
"HOXA10","TRUE","FALSE"
"HSD17B1","TRUE","FALSE"
"LSS","TRUE","FALSE"
"MED1","TRUE","FALSE"
"NFKB1","TRUE","FALSE"
"NFKB2","TRUE","FALSE"
"NR1I2","TRUE","FALSE"
"NR1I3","TRUE","FALSE"
"RORA","TRUE","TRUE"
"SHBG","TRUE","FALSE"
"SIGMAR1","TRUE","TRUE"
"SRD5A1","TRUE","FALSE"
"SULT2A1","TRUE","FALSE"
"SULT2B1","TRUE","FALSE"
"VDR","TRUE","FALSE"
"ALAD","TRUE","FALSE"
"ARG1","TRUE","TRUE"
"ARG2","TRUE","FALSE"
"GABBR1","TRUE","FALSE"
"GABBR2","TRUE","FALSE"
"GATM","TRUE","FALSE"
"LPA","TRUE","FALSE"
"OAT","TRUE","FALSE"
"OAZ1","TRUE","FALSE"
"OAZ2","TRUE","FALSE"
"OAZ3","TRUE","FALSE"
"OTC","TRUE","FALSE"
"PLAT","TRUE","FALSE"
"PLG","TRUE","FALSE"
"SLC25A15","TRUE","FALSE"
"SLC25A2","TRUE","FALSE"
"SLC7A1","TRUE","FALSE"
"SLC7A2","TRUE","FALSE"
"SLC7A3","TRUE","FALSE"
"SLC7A4","TRUE","FALSE"
"BLLF1","TRUE","FALSE"
"FAAH","TRUE","FALSE"
"ABCB1","TRUE","FALSE"
"BIRC5","TRUE","FALSE"
"ACOT13","TRUE","FALSE"
"DBI","TRUE","FALSE"
"ANXA1","TRUE","FALSE"
"HSD11B2","TRUE","FALSE"
"HSD3B1","TRUE","FALSE"
"ATP1A1","TRUE","FALSE"
"ATP1A2","TRUE","FALSE"
"ATP1A3","TRUE","FALSE"
"GLRA3","TRUE","FALSE"
"HSD11B1","TRUE","FALSE"
"IL6","TRUE","FALSE"
"LPL","TRUE","FALSE"
"PPP1CC","TRUE","TRUE"
"SLCO1B3","TRUE","FALSE"
"YWHAE","TRUE","FALSE"
"ADH1C","TRUE","FALSE"
"CES1","TRUE","FALSE"
"COX4I1","TRUE","FALSE"
"COX5A","TRUE","TRUE"
"COX5B","TRUE","FALSE"
