"Gene_symbol","Data_base"
"FCER1A","GeneCards"
"BCL11B","GeneCards"
"IL2RB","GeneCards"
"CCR3","GeneCards"
"TRBC1","GeneCards"
"IL7R","GeneCards"
"PVRIG","GeneCards"
"STAG3","GeneCards"
"CCR7","GeneCards"
"LCK","GeneCards"
"P2RY10","GeneCards"
"TRA","GeneCards"
"TRAC","GeneCards"
"TRAJ17","GeneCards"
"TRAV20","GeneCards"
"KLRB1","GeneCards"
"CHI3L1","GeneCards"
"CD27","GeneCards"
"TRD","GeneCards"
"CD3D","GeneCards"
"TARP","GeneCards"
"TRGC2","GeneCards"
"HLA-DPA1","GeneCards"
"C2orf89","GeneCards"
"KLRG1","GeneCards"
"ESYT1","GeneCards"
"LOC100286937","GeneCards"
"LOC100287164","GeneCards"
"RASA4","GeneCards"
"HLA-DRB1","GeneCards"
"HLA-DRB3","GeneCards"
"HLA-DRB5","GeneCards"
"LOC100294036","GeneCards"
"LRRN3","GeneCards"
"GPR183","GeneCards"
"CD74","GeneCards"
"SULF2","GeneCards"
"GZMH","GeneCards"
"GPR18","GeneCards"
"HLA-DRB4","GeneCards"
"HLA-DMA","GeneCards"
"CLIC3","GeneCards"
"NLRC3","GeneCards"
"FAM113B","GeneCards"
"FGFBP2","GeneCards"
"HVCN1","GeneCards"
"GZMK","GeneCards"
"MYBL1","GeneCards"
"ARL4C","GeneCards"
"GZMM","GeneCards"
"PRF1","GeneCards"
"S1PR5","GeneCards"
"MS4A1","GeneCards"
"LOC400986","GeneCards"
"ANKRD36B","GeneCards"
"ANKRD36","GeneCards"
"HLA-DQA1","GeneCards"
"HLA-DRA","GeneCards"
"CPVL","GeneCards"
"CD247","GeneCards"
"RORA","GeneCards"
"GZMB","GeneCards"
"KLRK1","GeneCards"
"PRKCH","GeneCards"
"GIMAP5","GeneCards"
"EVL","GeneCards"
"TBX21","GeneCards"
"IL32","GeneCards"
"STAT4","GeneCards"
"FAIM3","GeneCards"
"DOCK10","GeneCards"
"ABLIM1","GeneCards"
"TXK","GeneCards"
"DYRK2","GeneCards"
"SKAP1","GeneCards"
"EOMES","GeneCards"
"HLA-DMB","GeneCards"
"TSHZ1","GeneCards"
"DENND2D","GeneCards"
"FBXL16","GeneCards"
"FAM102A","GeneCards"
"IARS","GeneCards"
"CDKN1C","GeneCards"
"CCL4","GeneCards"
"CCL4L1","GeneCards"
"CCL4L2","GeneCards"
"RPL22","GeneCards"
"PTGDS","GeneCards"
"FYN","GeneCards"
"PTPRCAP","GeneCards"
"ZFP36L2","GeneCards"
"PTPN4","GeneCards"
"PLEKHA1","GeneCards"
"NUP93","GeneCards"
"NCL","GeneCards"
"HNRNPA1","GeneCards"
"HNRPA1L-2","GeneCards"
"KIAA0748","GeneCards"
"CD81","GeneCards"
"TGFBI","GeneCards"
"SBK1","GeneCards"
"LOC100291980","GeneCards"
"CXXC5","GeneCards"
"CD8A","GeneCards"
"IGHM","GeneCards"
"USP11","GeneCards"
"GIMAP7","GeneCards"
"SPON2","GeneCards"
"BTN3A3","GeneCards"
"RASGRP1","GeneCards"
"LGALS2","GeneCards"
"NFATC3","GeneCards"
"SAMD3","GeneCards"
"RUNX3","GeneCards"
"ATIC","GeneCards"
"EIF3L","GeneCards"
"FCGR3A","GeneCards"
"BLNK","GeneCards"
"NPM1","GeneCards"
"LOC340947","GeneCards"
"ZNF266","GeneCards"
"LBH","GeneCards"
"CD96","GeneCards"
"APOL3","GeneCards"
"HNRNPA0","GeneCards"
"GBP5","GeneCards"
"RPL10A","GeneCards"
"NOP56","GeneCards"
"LOC100131541","GeneCards"
"LYSMD2","GeneCards"
"PDCD4","GeneCards"
"XCL1","GeneCards"
"XCL2","GeneCards"
"CFD","GeneCards"
"ARHGEF18","GeneCards"
"RPS23","GeneCards"
"DUSP6","GeneCards"
"APEX1","GeneCards"
"ITM2A","GeneCards"
"FAM43A","GeneCards"
"DDX24","GeneCards"
"NOB1","GeneCards"
"CD160","GeneCards"
"C12orf57","GeneCards"
"LOC728392","GeneCards"
"NLRP1","GeneCards"
"CRIP1","GeneCards"
"TRIB2","GeneCards"
"DPP4","GeneCards"
"BIN1","GeneCards"
"ADA","GeneCards"
"SGK223","GeneCards"
"HNRNPH1","GeneCards"
"SIT1","GeneCards"
"SIRPG","GeneCards"
"MATK","GeneCards"
"EMR3","GeneCards"
"PPP3CC","GeneCards"
"BIRC3","GeneCards"
"AGAP6","GeneCards"
"AGAP7","GeneCards"
"TIGD3","GeneCards"
"MAD1L1","GeneCards"
"KLRD1","GeneCards"
"PABPC4","GeneCards"
"RFTN1","GeneCards"
"PURA","GeneCards"
"LAT","GeneCards"
"SPNS1","GeneCards"
"CUTA","GeneCards"
"MORC2","GeneCards"
"PLEKHO1","GeneCards"
"RHOH","GeneCards"
"SYTL2","GeneCards"
"NKTR","GeneCards"
"IFIT2","GeneCards"
"MYCBP2","GeneCards"
"PRPF19","GeneCards"
"KIAA0182","GeneCards"
"CPA3","GeneCards"
"PRR5L","GeneCards"
"AES","GeneCards"
"GPR171","GeneCards"
"NHP2L1","GeneCards"
"LY75","GeneCards"
"MAP3K4","GeneCards"
"GZMA","GeneCards"
"PQLC3","GeneCards"
"RANGRF","GeneCards"
"PCYOX1L","GeneCards"
"THEM4","GeneCards"
"C14orf43","GeneCards"
"MOAP1","GeneCards"
"ID2","GeneCards"
"LEPROTL1","GeneCards"
"TAGAP","GeneCards"
"MYOM2","GeneCards"
"CCT4","GeneCards"
"ISOC1","GeneCards"
"TCL1A","GeneCards"
"C6orf48","GeneCards"
