"Gene_symbol","Betweenness","Closeness","Degree"
"IL1B","TRUE","TRUE","TRUE"
"GSTP1","TRUE","TRUE","TRUE"
"AKR1B1","TRUE","TRUE","TRUE"
"MAPK14","TRUE","TRUE","TRUE"
"FASN","TRUE","TRUE","TRUE"
"COX7C","FALSE","TRUE","FALSE"
"COX7B","FALSE","TRUE","FALSE"
"ALDH1A1","FALSE","TRUE","FALSE"
"GLO1","FALSE","TRUE","FALSE"
"DPP4","FALSE","TRUE","FALSE"
"PIM1","FALSE","TRUE","FALSE"
"LCN2","FALSE","TRUE","FALSE"
"PRKCD","FALSE","TRUE","TRUE"
"ALOX5","FALSE","TRUE","TRUE"
"SERPINA1","FALSE","TRUE","TRUE"
"MYC","FALSE","TRUE","TRUE"
"NFKBIA","FALSE","FALSE","TRUE"
