Herb_name,Mol_ID,Molecule_Name,MW,AlogP,Hdon,Hacc,OB (%),Caco-2,BBB,DL,FASA-,HL
da huang,tcm04075,EUPATIN,,,,,,,,,,
da huang,tcm04097,Physciondiglucoside,,,,,,,,,,
da huang,tcm04106,rhein,,,,,,,,,,
da huang,tcm04118,Torachrysone-8-O-beta-D-(6'-oxayl)-glucoside,,,,,,,,,,
da huang,tcm04119,Toralactone,,,,,,,,,,
da huang,tcm04126,Emodin-1-O-beta-D-glucopyranoside,,,,,,,,,,
da huang,tcm04133,Daucosterol_qt,,,,,,,,,,
da huang,tcm00243,beta-sitosterol,,,,,,,,,,
da huang,tcm02677,aloe-emodin,,,,,,,,,,
da huang,tcm02759,(-)-catechin,,,,,,,,,,
gua lou,tcm00210,Mandenol,PTGS1,,,,,,,,,
gua lou,tcm01925,Diosmetin,NOS2,,,,,,,,,
gua lou,tcm01185,Spinasterol,PGR,,,,,,,,,
gua lou,tcm01931,Hydroxygenkwanin,NOS2,,,,,,,,,
gua lou,tcm06599,Schottenol,PGR,,,,,,,,,
gua lou,tcm06604,"10¦Á-cucurbita-5,24-diene-3¦Â-ol",PGR,,,,,,,,,
gua lou,tcm06609,5-dehydrokarounidiol,NR3C1,,,,,,,,,
gua lou,tcm06610,7-oxo-dihydrokaro-unidiol,NR3C2,,,,,,,,,
gua lou,tcm06617,Linolenic acid ethyl ester,PTGS1,,,,,,,,,
gua lou,tcm06618,vitamin-e,F10,,,,,,,,,
gua lou,tcm00490,Lauric Acid,ABAT,,,,,,,,,
gua lou,tcm00491,Linolenic Acid,ABL1,,,,,,,,,
gua lou,tcm00507,"Octadecanoic?Acid,Stearic Acid",ABAT,,,,,,,,,
gua lou,tcm01334,?¡®-Spinasterol,AKR1C1,,,,,,,,,
gua lou,tcm02062,Gamma-Aminobutyric Acid,ALAD,,,,,,,,,
gua lou,tcm02303,Caproic Acid,ABL1,,,,,,,,,
gua lou,tcm02625,"Decanoic Acid,Capric Acid",ABAT,,,,,,,,,
gua lou,tcm04750,"Palmitoleic Acid,9-Hexadecenoic Acid",ABL1,,,,,,,,,
gua lou,tcm06627,N-Nonanol,BLLF1,,,,,,,,,
gua lou,tcm06628,"Nonanoicacid,?¡®-Narcotine",ABCB1,,,,,,,,,
gua lou,tcm06629,Lauric Aldehyde,ACOT13,,,,,,,,,
gua lou,tcm02985,20-Hexadecanoylingenol,ANXA1,,,,,,,,,
gua lou,tcm06630,"5,25-Stigmastadien-3Beta-Ol-Beta-D-Glucoside",ANXA1,,,,,,,,,
gua lou,tcm06631,5Alpha-Stigmast-7-En-3Beta-Ol,AKR1C1,,,,,,,,,
gua lou,tcm06632,"7,22,25-Stigmastatrienol",AKR1C1,,,,,,,,,
gua lou,tcm06633,"7,24-Stigmastadienol",AKR1C1,,,,,,,,,
gua lou,tcm06634,"7,25-Stigmastadienol",AKR1C1,,,,,,,,,
gua lou,tcm06635,Alpha-Spinasterol-Beta-D-Glucoside,ANXA1,,,,,,,,,
gua lou,tcm01204,Bryonolic Acid,ADH1C,,,,,,,,,
gua lou,tcm01232,Campesterol,AKR1C1,,,,,,,,,
gua lou,tcm06636,Campesteryl Ferulate,AR,,,,,,,,,
gua lou,tcm06591,Cucurbitacin C,ANXA1,,,,,,,,,
gua lou,tcm06637,Karounidiol 3-Benzoate,ANXA1,,,,,,,,,
gua lou,tcm06638,Linoleyl Acetate,IGHG1,,,,,,,,,
gua lou,tcm05537,Oxofangchirine,ABCB1,,,,,,,,,
gua lou,tcm06639,Palmitone,ACOT13,,,,,,,,,
gua lou,tcm06640,Stearin,IGKC,,,,,,,,,
gua lou,tcm06641,Stigmasterol-Beta-D-Glucoside,ANXA1,,,,,,,,,
gua lou,tcm06642,Trans-9-Trans-12-Linoleic Acid,ABL1,,,,,,,,,
gua lou,tcm06643,(25R)-Samogenin 3-O-?¡¯-D-Glucopyranosyl(1??¡¯2)-?¡¯-D-Galactopyranoside,ABO,,,,,,,,,
gua lou,tcm06644,"5,25-Sitost-Dienol",AKR1C1,,,,,,,,,
gua lou,tcm06645,7-Oxodihydro Karounidiol,ANXA1,,,,,,,,,
gua lou,tcm06646,7-Oxoisomultiflorenol,AKR1C1,,,,,,,,,
gua lou,tcm06647,Bryonolicacid,ADH1C,,,,,,,,,
gua lou,tcm06648,Cucurbitacin B,ANXA1,,,,,,,,,
gua lou,tcm06649,Hexadecanoicacid,IGHG1,,,,,,,,,
gua lou,tcm06624,Karounidiol,AR,,,,,,,,,
gua lou,tcm06650,Lignocericacid,ABAT,,,,,,,,,
gua lou,tcm06651,Methyl Palmitate,IGHG1,,,,,,,,,
gua lou,tcm06652,Pentadecanoicacid,S100B,,,,,,,,,
gua lou,tcm00357,Phytol,MAOB,,,,,,,,,
gua lou,tcm06653,Trans-2-Nonenal,DBI,,,,,,,,,
gua lou,tcm06654,Trichosanicacid,ABL1,,,,,,,,,
gua lou,tcm06655,Vanillicacid,ABCC5,,,,,,,,,
ku xing ren,tcm09919,estrone,D1R,,,,,,,,,
