Mol_ID,Gene_symbol
tcm04075,NOS2
tcm04075,AR
tcm04075,F10
tcm04075,TOP2
tcm04075,PTGS2
tcm04075,F7
tcm04075,TOP2A
tcm04075,ESR2
tcm04075,DPP4
tcm04075,HSP90
tcm04075,PRSS1
tcm04075,NCOA2
tcm04075,CALM
tcm04075,CALM1
tcm04075,CAML1
tcm04075,F2
tcm04075,SCN5A
tcm04075,KDR
tcm04075,PPARD
tcm04097,TOP2
tcm04097,TOP2A
tcm04106,PTGS1
tcm04106,PTGS2
tcm04106,HSP90
tcm04106,PIK3CG
tcm04106,NCOA2
tcm04106,AKR1B1
tcm04106,JUN
tcm04118,TOP2
tcm04118,TOP2A
tcm04119,NOS2
tcm04119,PTGS1
tcm04119,ESR1
tcm04119,PTGS2
tcm04119,ESR2
tcm04119,HSP90
tcm04119,PIK3CG
tcm04119,CHEK1
tcm04119,PRKACA
tcm04126,TOP2
tcm04126,TOP2A
tcm04133,PGR
tcm04133,PR
tcm04133,NCOA2
tcm00243,PGR
tcm00243,PR
tcm00243,NCOA2
tcm00243,PTGS1
tcm00243,PTGS2
tcm00243,HSP90
tcm00243,PIK3CG
tcm00243,KCNH2
tcm00243,PRKACA
tcm00243,D1R
tcm00243,DRD1
tcm00243,CHRM3
tcm00243,CHRM1
tcm00243,SCN5A
tcm00243,GABRA2 
tcm00243,GABRA2
tcm00243,CHRM4
tcm00243,PDE3A
tcm00243,HTR2A
tcm00243,GABRA5
tcm00243,ADRA1A
tcm00243,GABRA3
tcm00243,GABRA23
tcm00243,CHRM2
tcm00243,ADRA1B
tcm00243,ADRB2
tcm00243,CHRNA2
tcm00243,SLC6A4
tcm00243,OPRM1
tcm00243,GABRA1
tcm00243,CHRNA7
tcm00243,CYP101
tcm00243,CYP101A1
tcm00243,BCL2
tcm00243,BAX
tcm00243,CASP9
tcm00243,JUN
tcm00243,CASP3
tcm00243,CASP8
tcm00243,PRKCA
tcm00243,TGFB1
tcm00243,PON1
tcm00243,MAP2
tcm02677,PTGS1
tcm02677,PTGS2
tcm02677,HSP90
tcm02677,PIK3CG
tcm02677,PRKACA
tcm02677,NCOA2
tcm02677,PKIA
tcm02677,AKR1B1
tcm02677,IGHG1
tcm02677,CDKN1A
tcm02677,EIF6
tcm02677,BAX
tcm02677,TNF
tcm02677,CASP3
tcm02677,TP53
tcm02677,FASN
tcm02677,PRKCA
tcm02677,PRKCE
tcm02677,CDC2
tcm02677,PCNA
tcm02677,MYC
tcm02677,IL1B
tcm02677,PRKCD
tcm02677,CCNB1
tcm02759,PTGS1
tcm02759,ESR1
tcm02759,PTGS2
tcm02759,HSP90
tcm02759,BLAC
tcm02759,PRKACA
tcm02759,NCOA2
tcm02759,CALM
tcm02759,CALM1
tcm02759,CAML1
tcm02759,FASN
tcm02759,PPARG
tcm02759,KLF7
tcm00210,PTGS1
tcm00210,PTGS2
tcm00210,NCOA2
tcm01925,NOS2
tcm01925,PTGS1
tcm01925,PTGS2
tcm01925,DPP4
tcm01925,HSP90
tcm01925,PRKACA
tcm01925,PRSS1
tcm01925,NCOA2
tcm01925,NCOA1
tcm01925,CALM
tcm01925,CALM1
tcm01925,CAML1
tcm01185,PGR
tcm01185,PR
tcm01185,NR3C2
tcm01185,MR
tcm01185,NCOA2
tcm01931,NOS2
tcm01931,PTGS1
tcm01931,PTGS2
tcm01931,DPP4
tcm01931,HSP90
tcm01931,PRKACA
tcm01931,PRSS1
tcm01931,NCOA2
tcm01931,CALM
tcm01931,CALM1
tcm01931,CAML1
tcm01931,PIK3CG
tcm06599,PGR
tcm06599,PR
tcm06599,NCOA2
tcm06604,PGR
tcm06604,PR
tcm06604,NR3C2
tcm06604,MR
tcm06609,NR3C1
tcm06610,NR3C2
tcm06610,MR
tcm06617,PTGS1
tcm06617,PTGS2
tcm06618,F10
tcm06618,TOP2
tcm00490,ABAT
tcm00490,ABL1
tcm00490,ACADSB
tcm00490,ACOX1
tcm00490,ACSL3
tcm00490,ACSL4
tcm00490,ADH5
tcm00490,ALDH5A1
tcm00490,ARF1
tcm00490,ARF6
tcm00490,C8G
tcm00490,CALM1
tcm00490,CNR1
tcm00490,CNR2
tcm00490,CYP2C8
tcm00490,ECI2
tcm00490,ELOVL4
tcm00490,FADS1
tcm00490,FADS2
tcm00490,FFAR1
tcm00490,FKBP1A
tcm00490,FURIN
tcm00490,GLTP
tcm00490,GM2A
tcm00490,GUCA1A
tcm00490,HAO1
tcm00490,HDAC2
tcm00490,HDAC9
tcm00490,HNF4A
tcm00490,HNF4G
tcm00490,INS
tcm00490,LALBA
