	logFC	AveExpr	t	P.Value	adj.P.Val	B
FCER1A	-3.61338852409683	3.82388802630656	-21.259271736052	1.16582218959959e-56	3.06386478090815e-54	118.424904292123
BCL11B	-3.47628737195588	4.38465727035688	-21.0032025514165	7.56385383411872e-56	1.78846019795007e-53	116.56352572675
IL2RB	-3.39562574876216	6.0471232412504	-19.776751915687	6.45297658773205e-52	7.76281762492608e-50	107.552335165703
CCR3	-3.30444094266434	4.34010171070853	-19.9718534697422	1.51362647964892e-52	1.99594937902936e-50	108.996026952252
TRBC1	-3.07079172092748	7.52902125615102	-15.7248225387617	1.48889889404736e-38	3.95712392111734e-37	76.9143192321459
IL7R	-3.04043718033128	6.61732810030236	-16.0485405613848	1.23526851999483e-39	3.57393934244916e-38	79.392737785503
PVRIG /// STAG3	-2.84459502842055	6.10351173277138	-16.3811952381287	9.59455694106097e-41	3.17825492487222e-39	81.9369288688484
CCR7	-2.78663149926303	6.5968857059206	-13.7322478899058	6.6899561102144e-32	1.00378619360482e-30	61.6680855000133
LCK	-2.73181984329603	4.43368258740576	-19.7851197966952	6.0634224240525e-52	7.42444420745143e-50	107.614330750484
P2RY10	-2.73153763202253	3.14946388727884	-27.4907429402675	2.23059736603025e-75	7.64760306943472e-72	161.287917501529
TRA@ /// TRAC /// TRAJ17 /// TRAV20	-2.73123534173416	6.14452959105181	-17.1042525946645	3.76825950069416e-43	1.5852119875006e-41	87.4530060084397
KLRB1	-2.67814801842627	4.38300242517358	-16.2825763805598	2.04580352810112e-40	6.40551360373944e-39	81.1830175361155
CHI3L1	-2.63116042840745	6.24557607339362	-9.14245674689999	2.97168653035876e-17	1.5252136630741e-16	28.1769868457434
CD27	-2.61563741829277	5.94182535458743	-16.9530506444083	1.19784677274141e-42	4.80329550917417e-41	86.3014236111374
TRA@ /// TRD@	-2.6114864679106	3.86042236304671	-20.8965398195133	1.65168524652345e-55	3.53925179231604e-53	115.78607908075
CD3D	-2.60530582527381	5.33613513940157	-16.1302570434982	6.59211269630729e-40	1.95680159128048e-38	80.0180050133772
TARP /// TRGC2	-2.60403067211143	6.45487627327861	-12.3346392921698	2.76288625512842e-27	2.84888887991212e-26	51.097490088351
HLA-DPA1	-2.59291974582558	8.77949657951708	-16.1883105327721	4.22001506684115e-40	1.28038244749247e-38	80.4621042500802
C2orf89	-2.56777641485549	3.31912560687431	-23.6610574797176	4.05357790624518e-64	3.08837596701369e-61	135.515222767866
KLRG1	-2.50558648474954	3.82712403996861	-16.6196767067955	1.53972727947963e-41	5.61590955074034e-40	83.7586587783597
ESYT1	-2.50441571816287	6.42449741525515	-17.967839051282	5.2274279307557e-46	3.229231830738e-44	94.00561342882
LOC100286937 /// LOC100287164 /// RASA4	-2.50262011457297	4.99903372465947	-16.5645647995401	2.34954750748949e-41	8.43499856484576e-40	83.3378528001154
HLA-DRB1	-2.49568078063411	8.51961087326161	-14.7834009419825	2.0865574859121e-35	4.18348674880096e-34	69.7018540334502
HLA-DRB3 /// HLA-DRB5 /// LOC100294036	-2.48214537742259	6.72268569012177	-13.788322821157	4.35391749744331e-32	6.63440272888194e-31	62.0954487485939
LRRN3	-2.46575500043362	2.72446415663804	-23.472089643282	1.52725894022066e-63	1.04724145530931e-60	134.195670495705
