Description,Gene_symbol
Cytochrome c oxidase subunit 1,COX1
RNA-binding protein 8A,RBM8
Tyrosinase,TYR
Monophenol monooxygenase,TYR
"Pro-neuregulin-1, membrane-bound isoform",NRG1
Inositol polyphosphate 3-phosphatase,PTEN
"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",PTEN
Phosphatase and tensin homolog,PTEN
Gap junction protein,GJA5
CD2 antigen cytoplasmic tail-binding protein 2,CD2BP2
Outer mitochondrial membrane protein porin 2,VDAC2
Non-selective voltage-gated ion channel VDAC2,VDAC2
Succinyl-CoA:3-ketoacid-coenzyme A transferase,OXCT1
"Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2",GNAT2
Apolipoprotein C-II,APOC2
Apolipoprotein C2,APOC2
Transcriptional adapter,TADA2A
Vasodilator-stimulated phosphoprotein,VASP
6-phosphofructokinase type A,PFKM
Phosphofructo-1-kinase isozyme A,PFKM
Glycerol-3-phosphate dehydrogenase [NAD(+)],GPD1
Pyridoxal phosphate phosphatase,PDXP
Chronophin,PDXP
Beclin-1,BECN1
Cytoplasmic polyadenylation element-binding protein 1,CPEB1
SMAD family member,SMAD4
Mothers against decapentaplegic homolog,SMAD4
Proto-oncogene c-RAF,RAF1
RAF proto-oncogene serine/threonine-protein kinase,RAF1
Raf-1,RAF1
"Ras homolog gene family, member A, isoform CRA_a",RHOA
Epididymis secretory sperm binding protein,RHOA
5-aminolevulinic acid synthase,ALAS1
Delta-aminolevulinate synthase,ALAS1
5-aminolevulinate synthase,ALAS1
Delta-ALA synthase,ALAS1
"Zinc finger and BTB domain containing 16, isoform CRA_a",ZBTB16
Zinc finger and BTB domain containing 16 isoform 1,ZBTB16
Histone H3,H3F3B
Heat shock protein 60,HSPD1
Mitochondrial matrix protein P1,HSPD1
Chaperonin 60,HSPD1
"60 kDa heat shock protein, mitochondrial",HSPD1
60 kDa chaperonin,HSPD1
cAMP responsive element binding protein 1,CREB1
CREB1 protein,CREB1
"cDNA, FLJ96224, Homo sapiens cAMP responsive element binding protein 1 (CREB1),transcript variant A, mRNA",CREB1
ERBB receptor feedback inhibitor 1,ERRFI1
NEDD8 carrier protein,UBE2M
NEDD8-conjugating enzyme UBC12,UBE2M
Ubiquitin-conjugating enzyme E2 M,UBE2M
Paired box protein Pax-8,PAX8
Seipin,BSCL2
Sterol Delta(7)-reductase,DHCR7
7-dehydrocholesterol reductase,DHCR7
Annexin,ANXA2
Serine/threonine-protein phosphatase,PPP4C
Menage a trois,MNAT1
RING finger protein MAT1,MNAT1
p36,MNAT1
CDK-activating kinase assembly factor MAT1,MNAT1
CDK7/cyclin-H assembly factor,MNAT1
p35,MNAT1
F-actin cross-linking protein,ACTN1
Presenilin,PSEN1
NPC intracellular cholesterol transporter 2,NPC2
Epididymal secretory protein E1,NPC2
G-protein coupled receptor 56,GPR56
Adhesion G-protein coupled receptor G1,GPR56
Ras-related protein Rab-3,RAB3D
Bone marrow stromal antigen 2,BST2
Up-frameshift suppressor 1 homolog,UPF1
ATP-dependent helicase RENT1,UPF1
Regulator of nonsense transcripts 1,UPF1
Nonsense mRNA reducing factor 1,UPF1
Peroxiredoxin-6,HEL-S-128m
Glutathione-dependent peroxiredoxin,HEL-S-128m
Lysophosphatidylcholine acyltransferase 5,HEL-S-128m
Non-selenium glutathione peroxidase,HEL-S-128m
Acidic calcium-independent phospholipase A2,HEL-S-128m
1-Cys peroxiredoxin,HEL-S-128m
Ras-related protein Rab,RAB7L1
Aquaporin-CHIP,AQP1
Aquaporin-1,AQP1
Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,C1GALT1
"Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1",C1GALT1
"Core 1 beta1,3-galactosyltransferase 1",C1GALT1
Core 1 O-glycan T-synthase,C1GALT1
Septin,SEPTIN7
Nucleotide-binding oligomerization domain-containing protein 1,CARD4
Chloride intracellular channel protein,CLIC4
Beta-hexosaminidase,HEXB
Fatty acyl-CoA reductase,HEL-S-81
N-acetylglucosamine-6-sulfatase,GNS
Glucosamine-6-sulfatase,GNS
Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B
Nudix hydrolase 4B,NUDT4B
Nucleoside diphosphate-linked moiety X motif 4B,NUDT4B
D-amino-acid oxidase,DAO
E3 ubiquitin-protein ligase RNF10,RNF10
RING finger protein 10,RNF10
CD99 antigen-like protein 2,CD99L2
2-arachidonoylglycerol hydrolase,ABHD2
Acetylesterase,ABHD2
Abhydrolase domain-containing protein 2,ABHD2
Monoacylglycerol lipase ABHD2,ABHD2
Large proline-rich protein BAG6,BAG6
BCL2-associated athanogene 6,BAG6
HLA-B-associated transcript 3,BAG6
Kinesin-like protein,KIFC1
"Methylmalonyl-CoA mutase, mitochondrial",MUT
Methylmalonyl-CoA isomerase,MUT
S-(hydroxymethyl)glutathione dehydrogenase,ADH5
Arginosuccinase,ASL
Argininosuccinate lyase,ASL
RING-type E3 ubiquitin transferase,RNF6
Spartin,SPG20
Cytochrome b-c1 complex subunit 3,CYTB
Ubiquinol-cytochrome-c reductase complex cytochrome b subunit,CYTB
Complex III subunit III,CYTB
Cytochrome b,CYTB
Complex III subunit 3,CYTB
Duffy antigen/chemokine receptor,DARC
Atypical chemokine receptor 1,DARC
Never in mitosis A-related kinase 4,NEK4
Serine/threonine-protein kinase Nek4,NEK4
Serine/threonine-protein kinase 2,NEK4
Protein-tyrosine kinase 2,FAK
Focal adhesion kinase 1,FAK
pp125FAK,FAK
MHC class I antigen,HLA-A
Lymphocyte antigen,HLA-A
HLA class I antigen,HLA-C
Phospholipid-transporting ATPase,ATP11C
ATP-dependent helicase ATRX,ATRX
Transcriptional regulator ATRX,ATRX
X-linked nuclear protein,ATRX
Glucosylceramidase,GBA
Protein LAP1,LRRC7
Leucine-rich repeat-containing protein 7,LRRC7
Densin-180,LRRC7
protein-tyrosine-phosphatase,PTPRT
Lysine acetyltransferase 14,KAT14
Cysteine-rich protein 2-binding protein,KAT14
ADA2A-containing complex subunit 2,KAT14
CRP2-binding partner,KAT14
Probable non-functional immunoglobulin kappa variable 3-7,IGKV3-7
Probable non-functional immunoglobulin kappa variable 1D-42,IGKV1D-42
Immunoglobulin lambda variable 4-69,IGLV4-69
Immunoglobulin lambda variable 8-61,IGLV8-61
Immunoglobulin lambda variable 4-60,IGLV4-60
Probable non-functional immunoglobulin lambda variable 11-55,IGLV11-55
Immunoglobulin lambda variable 10-54,IGLV10-54
Probable non-functional immunoglobulin lambda variable 1-50,IGLV1-50
Probable non-functional immunoglobulin lambda variable 5-48,IGLV5-48
Immunoglobulin lambda variable 7-46,IGLV7-46
Immunoglobulin lambda variable 1-40,IGLV1-40
Ig lambda chain V-I region NEWM,IGLV1-40
Immunoglobulin lambda variable 5-37,IGLV5-37
Probable non-functional immunoglobulin lambda variable 2-33,IGLV2-33
Ig lambda chain V-IV region Kern,IGLV3-27
Immunoglobulin lambda variable 3-27,IGLV3-27
Immunoglobulin lambda variable 3-25,IGLV3-25
Ig lambda chain V-IV region Hil,IGLV3-25
Ig lambda chain V-II region NEI,IGLV2-23
Immunoglobulin lambda variable 2-23,IGLV2-23
Immunoglobulin lambda variable 3-22,IGLV3-22
Ig lambda chain V-III region SH,IGLV3-19
Immunoglobulin lambda variable 3-19,IGLV3-19
Immunoglobulin lambda variable 2-18,IGLV2-18
Immunoglobulin lambda variable 3-16,IGLV3-16
Immunoglobulin lambda variable 3-12,IGLV3-12
Immunoglobulin lambda variable 3-10,IGLV3-10
Immunoglobulin lambda variable 3-9,IGLV3-9
Immunoglobulin lambda variable 4-3,IGLV4-3
Immunoglobulin lambda constant 7,IGLC7
Ig lambda-7 chain C region,IGLC7
Probable non-functional T cell receptor gamma variable 11,TRGV11
T cell receptor gamma variable 3,TRGV3
T-cell receptor gamma V-gamma-1.1 region,TRGV3
