"Mol_ID","Gene_symbol","Data_base"
"MOL000098","PIF1","CTD"
"MOL000098","ZNF37BP","CTD"
"MOL000098","SLC7A5","CTD"
"MOL000098","RERE","CTD"
"MOL000098","S100A16","CTD"
"MOL000098","FLAD1","CTD"
"MOL000098","AASS","CTD"
"MOL000098","NSUN6","CTD"
"MOL000098","UROD","CTD"
"MOL000098","HMBS","CTD"
"MOL000098","PGC","CTD"
"MOL000098","CKB","CTD"
"MOL000098","PRKAR1B","CTD"
"MOL000098","C13H1ORF115","CTD"
"MOL000098","GPX8","CTD"
"MOL000098","TMEM135","CTD"
"MOL000098","MR1","CTD"
"MOL000098","PTH","CTD"
"MOL000098","TPP1","CTD"
"MOL000098","ADD3","CTD"
"MOL000098","DCP1A","CTD"
"MOL000098","HSPG2","CTD"
"MOL000098","GPANK1","CTD"
"MOL000098","RAB11FIP1","CTD"
"MOL000098","TGFA","CTD"
"MOL000098","H3C4","CTD"
"MOL000098","HNMT","CTD"
"MOL000098","FBXO10","CTD"
"MOL000098","SERPINC1","CTD"
"MOL000098","LMNB1","CTD"
"MOL000098","ATL2","CTD"
"MOL000098","CEP72","CTD"
"MOL000098","PIK3CA","CTD"
"MOL000098","PLIN1","CTD"
"MOL000098","DMXL1","CTD"
"MOL000098","MYH3","CTD"
"MOL000098","DGAT2","CTD"
"MOL000098","PRMT9","CTD"
"MOL000098","ULBP2","CTD"
"MOL000098","DCUN1D2","CTD"
"MOL000098","UTP20","CTD"
"MOL000098","GRIN1","CTD"
"MOL000098","SLC41A1","CTD"
"MOL000098","SLC22A3","CTD"
"MOL000098","STAR","CTD"
"MOL000098","SKAP2","CTD"
"MOL000098","SETMAR","CTD"
"MOL000098","GMPPB","CTD"
"MOL000098","BLVRB","CTD"
"MOL000098","MUC15","CTD"
"MOL000098","MRPL47","CTD"
"MOL000098","UHMK1","CTD"
"MOL000098","IFI27L1","CTD"
"MOL000098","FSHB","CTD"
"MOL000098","ATP6V0B","CTD"
"MOL000098","SULT1D1","CTD"
"MOL000098","STN1","CTD"
"MOL000098","KLK2","CTD"
"MOL000098","HSP90AB1","CTD"
"MOL000098","MAPK13","CTD"
"MOL000098","PRR7","CTD"
"MOL000098","EPO","CTD"
"MOL000098","CHST15","CTD"
"MOL000098","DDIT4L","CTD"
"MOL000098","COX4","CTD"
"MOL000098","ZCCHC2","CTD"
"MOL000098","EFR3A","CTD"
"MOL000098","RAB28","CTD"
"MOL000098","AIG1","CTD"
"MOL000098","STAG2","CTD"
"MOL000098","RGS5","CTD"
"MOL000098","NME1","CTD"
"MOL000098","PRDX4","CTD"
"MOL000098","WDR44","CTD"
"MOL000098","UGT1A9","CTD"
"MOL000098","PNPLA2","CTD"
"MOL000098","DPH6","CTD"
"MOL000098","FAM234B","CTD"
"MOL000098","SERPINB9","CTD"
"MOL000098","CD109","CTD"
"MOL000098","COL1A1","CTD"
"MOL000098","COL7A1","CTD"
"MOL000098","AMDHD1","CTD"
"MOL000098","TRIM59","CTD"
"MOL000098","DMPK","CTD"
"MOL000098","TRRAP","CTD"
"MOL000098","POR","CTD"
"MOL000098","CENPC","CTD"
"MOL000098","TSFM","CTD"
"MOL000098","CPN1","CTD"
"MOL000098","CCDC62","CTD"
"MOL000098","BSCL2","CTD"
"MOL000098","NCAPG2","CTD"
"MOL000098","PUS10","CTD"
"MOL000098","CD302","CTD"
"MOL000098","ITGAX","CTD"
"MOL000098","GCFC2","CTD"
"MOL000098","NCOA2","CTD"
"MOL000098","TH","CTD"
"MOL000098","CENPW","CTD"
"MOL000098","TFPI","CTD"
"MOL000098","TTYH3","CTD"
"MOL000098","SKIDA1","CTD"
"MOL000098","TRAPPC11","CTD"
"MOL000098","MEIS1","CTD"
"MOL000098","TNFRSF12A","CTD"
"MOL000098","CYP17A1","CTD"
"MOL000098","TUBA1A","CTD"
"MOL000098","MCM10","CTD"
"MOL000098","ZNF362","CTD"
"MOL000098","RASSF1","CTD"
"MOL000098","SLC22A12","CTD"
"MOL000098","FHL1","CTD"
"MOL000098","NAPB","CTD"
"MOL000098","CABIN1","CTD"
"MOL000098","SH3BP2","CTD"
"MOL000098","DDX26B","CTD"
"MOL000098","PHKA2","CTD"
"MOL000098","IL4R","CTD"
"MOL000098","TNFRSF14","CTD"
"MOL000098","FUT8","CTD"
"MOL000098","GJA1","CTD"
"MOL000098","ADGRG4","CTD"
"MOL000098","ZNF217","CTD"
"MOL000098","TBC1D10B","CTD"
"MOL000098","VEGFA","CTD"
"MOL000098","ICAM3","CTD"
"MOL000098","SH3RF1","CTD"
"MOL000098","PGM1","CTD"
"MOL000098","DLX6","CTD"
"MOL000098","LEF1","CTD"
"MOL000098","ITPRIPL1","CTD"
"MOL000098","IFI44","CTD"
"MOL000098","SKA1","CTD"
"MOL000098","RNF19B","CTD"
"MOL000098","UGT1A1","CTD"
"MOL000098","PPP1R21","CTD"
"MOL000098","SMTN","CTD"
"MOL000098","SLCO5A1","CTD"
"MOL000098","SFT2D2","CTD"
"MOL000098","SF3B3","CTD"
"MOL000098","FMC1","CTD"
"MOL000098","EXOC2","CTD"
"MOL000098","STMN1","CTD"
"MOL000098","GUCD1","CTD"
"MOL000098","CRELD2","CTD"
"MOL000098","PNMA6A","CTD"
"MOL000098","ARHGAP29","CTD"
"MOL000098","IDH1","CTD"
"MOL000098","MYL12A","CTD"
