Mol_ID,Gene_symbol
MOL000098,PIF1
MOL000098,ZNF37BP
MOL000098,SLC7A5
MOL000098,RERE
MOL000098,S100A16
MOL000098,FLAD1
MOL000098,AASS
MOL000098,NSUN6
MOL000098,UROD
MOL000098,HMBS
MOL000098,PGC
MOL000098,CKB
MOL000098,PRKAR1B
MOL000098,C13H1ORF115
MOL000098,GPX8
MOL000098,TMEM135
MOL000098,MR1
MOL000098,PTH
MOL000098,TPP1
MOL000098,ADD3
MOL000098,DCP1A
MOL000098,HSPG2
MOL000098,GPANK1
MOL000098,RAB11FIP1
MOL000098,TGFA
MOL000098,H3C4
MOL000098,HNMT
MOL000098,FBXO10
MOL000098,SERPINC1
MOL000098,LMNB1
MOL000098,ATL2
MOL000098,CEP72
MOL000098,PIK3CA
MOL000098,PLIN1
MOL000098,DMXL1
MOL000098,MYH3
MOL000098,DGAT2
MOL000098,PRMT9
MOL000098,ULBP2
MOL000098,DCUN1D2
MOL000098,UTP20
MOL000098,GRIN1
MOL000098,SLC41A1
MOL000098,SLC22A3
MOL000098,STAR
MOL000098,SKAP2
MOL000098,SETMAR
MOL000098,GMPPB
MOL000098,BLVRB
MOL000098,MUC15
MOL000098,MRPL47
MOL000098,UHMK1
MOL000098,IFI27L1
MOL000098,FSHB
MOL000098,ATP6V0B
MOL000098,SULT1D1
MOL000098,STN1
MOL000098,KLK2
MOL000098,HSP90AB1
MOL000098,MAPK13
MOL000098,PRR7
MOL000098,EPO
MOL000098,CHST15
MOL000098,DDIT4L
MOL000098,COX4
MOL000098,ZCCHC2
MOL000098,EFR3A
MOL000098,RAB28
MOL000098,AIG1
MOL000098,STAG2
MOL000098,RGS5
MOL000098,NME1
MOL000098,PRDX4
MOL000098,WDR44
MOL000098,UGT1A9
MOL000098,PNPLA2
MOL000098,DPH6
MOL000098,FAM234B
MOL000098,SERPINB9
MOL000098,CD109
MOL000098,COL1A1
MOL000098,COL7A1
MOL000098,AMDHD1
MOL000098,TRIM59
MOL000098,DMPK
MOL000098,TRRAP
MOL000098,POR
MOL000098,CENPC
MOL000098,TSFM
MOL000098,CPN1
MOL000098,CCDC62
MOL000098,BSCL2
