Mol_ID,Gene_symbol,Description
MOL000422,ERN1,endoplasmic reticulum to nucleus signaling 1
MOL000422,IL10,interleukin 10
MOL000422,MMP2,matrix metallopeptidase 2
MOL000422,MIR124-3,microRNA 124-3
MOL000422,EPHB2,EPH receptor B2
MOL000422,NQO1,NAD(P)H quinone dehydrogenase 1
MOL000422,HIF1A,hypoxia inducible factor 1 subunit alpha
MOL000422,NLRP3,NLR family pyrin domain containing 3
MOL000422,SUFU,SUFU negative regulator of hedgehog signaling
MOL000422,PPARGC1A,PPARG coactivator 1 alpha
MOL000422,CDH1,cadherin 1
MOL000422,NR1H4,nuclear receptor subfamily 1 group H member 4
MOL000422,JAG1,jagged canonical Notch ligand 1
MOL000422,SIRT3,sirtuin 3
MOL000422,CHUK,component of inhibitor of nuclear factor kappa B kinase complex
MOL000422,ATG7,autophagy related 7
MOL000422,CYP8B1,cytochrome P450 family 8 subfamily B member 1
MOL000422,ROCK2,Rho associated coiled-coil containing protein kinase 2
MOL000422,MAPK14,mitogen-activated protein kinase 14
MOL000422,NFKBIA,NFKB inhibitor alpha
MOL000422,PLCG1,phospholipase C gamma 1
MOL000422,CCN2,cellular communication network factor 2
MOL000422,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
MOL000422,SYK,spleen associated tyrosine kinase
MOL000422,VEGFA,vascular endothelial growth factor A
MOL000422,IRF6,interferon regulatory factor 6
MOL000422,SOD2,superoxide dismutase 2
MOL000422,CDH5,cadherin 5
MOL000422,GTF2H1,general transcription factor IIH subunit 1
MOL000422,FN1,fibronectin 1
MOL000422,ATF4,activating transcription factor 4
MOL000422,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
MOL000422,BECN1,beclin 1
MOL000422,IL17A,interleukin 17A
MOL000422,LPCAT3,lysophosphatidylcholine acyltransferase 3
MOL000422,ALPP,"alkaline phosphatase, placental"
MOL000422,ELK3,ETS transcription factor ELK3
MOL000422,RHOA,ras homolog family member A
MOL000422,NFKB1,nuclear factor kappa B subunit 1
MOL000422,CASP3,caspase 3
MOL000422,EDNRA,endothelin receptor type A
MOL000422,HMOX1,heme oxygenase 1
MOL000422,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL000422,NOS1,nitric oxide synthase 1
MOL000422,HSPA1A,heat shock protein family A (Hsp70) member 1A
MOL000422,MBTPS1,"membrane bound transcription factor peptidase, site 1"
MOL000422,PARK7,Parkinsonism associated deglycase
MOL000422,GPT,glutamic--pyruvic transaminase
MOL000422,XBP1,X-box binding protein 1
MOL000422,AKT1,AKT serine/threonine kinase 1
MOL000422,HMGB1,high mobility group box 1
MOL000422,CD9,CD9 molecule
MOL000422,DDIT3,DNA damage inducible transcript 3
MOL000422,CCND1,cyclin D1
MOL000422,SPHK1,sphingosine kinase 1
MOL000422,BTK,Bruton tyrosine kinase
MOL000422,GPX1,glutathione peroxidase 1
MOL000422,MAPK8,mitogen-activated protein kinase 8
MOL000422,MARVELD1,MARVEL domain containing 1
MOL000422,CD69,CD69 molecule
MOL000422,TGFB1,transforming growth factor beta 1
MOL000422,GCG,glucagon
MOL000422,VIM,vimentin
MOL000422,LGR5,leucine rich repeat containing G protein-coupled receptor 5
MOL000422,MID1,midline 1
MOL000422,NPHS1,"NPHS1 adhesion molecule, nephrin"
MOL000422,IL1B,interleukin 1 beta
MOL000422,BGLAP,bone gamma-carboxyglutamate protein
MOL000422,IL2,interleukin 2
MOL000422,BCL2,BCL2 apoptosis regulator
MOL000422,IFNG,interferon gamma
MOL000422,TP53,tumor protein p53
MOL000422,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1
MOL000422,TJP1,tight junction protein 1
MOL000422,CAT,catalase
MOL000422,PKM,pyruvate kinase M1/2
MOL000422,ICAM1,intercellular adhesion molecule 1
MOL000422,GLI1,GLI family zinc finger 1
MOL000422,AR,androgen receptor
MOL000422,SOD1,superoxide dismutase 1
MOL000422,CYCS,"cytochrome c, somatic"
MOL000422,SCTR,secretin receptor
MOL000422,ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit
MOL000422,NR1H3,nuclear receptor subfamily 1 group H member 3
MOL000422,PRKACA,protein kinase cAMP-activated catalytic subunit alpha
MOL000422,BAX,"BCL2 associated X, apoptosis regulator"
MOL000422,SP7,Sp7 transcription factor
MOL000422,GSK3B,glycogen synthase kinase 3 beta
MOL000422,CDH2,cadherin 2
MOL000422,MTOR,mechanistic target of rapamycin kinase
MOL000422,TNF,tumor necrosis factor
MOL000422,HSPA5,heat shock protein family A (Hsp70) member 5
MOL000422,SQSTM1,sequestosome 1
MOL000422,CXCL8,C-X-C motif chemokine ligand 8
MOL000422,NOX4,NADPH oxidase 4
MOL000422,TLR4,toll like receptor 4
MOL000422,CYP27A1,cytochrome P450 family 27 subfamily A member 1
MOL000422,RUNX2,RUNX family transcription factor 2
MOL000422,PRRT2,proline rich transmembrane protein 2
MOL000422,GABPA,GA binding protein transcription factor subunit alpha
MOL000422,CTNNB1,catenin beta 1
MOL000422,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
MOL000422,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000422,NFE2L2,"nuclear factor, erythroid 2 like 2"
MOL000422,INS,insulin
MOL000422,VDAC1,voltage dependent anion channel 1
MOL000422,MMP9,matrix metallopeptidase 9
MOL000422,CCL2,C-C motif chemokine ligand 2
MOL000422,ATF6,activating transcription factor 6
MOL000422,CYBB,cytochrome b-245 beta chain
MOL000422,EIF2AK3,eukaryotic translation initiation factor 2 alpha kinase 3
MOL000422,KDR,kinase insert domain receptor
MOL000422,GSS,glutathione synthetase
MOL000422,PPP1R12A,protein phosphatase 1 regulatory subunit 12A
MOL000422,SOX2,SRY-box transcription factor 2
MOL000422,SOCS1,suppressor of cytokine signaling 1
MOL000422,SHH,sonic hedgehog signaling molecule
MOL000422,IL6,interleukin 6
MOL000422,MKI67,marker of proliferation Ki-67
MOL000098,CPNE6,copine 6
MOL000098,GDF9,growth differentiation factor 9
MOL000098,IL10,interleukin 10
MOL000098,NLRP3,NLR family pyrin domain containing 3
MOL000098,EPHB2,EPH receptor B2
MOL000098,CASP9,caspase 9
MOL000098,MIR124-1,microRNA 124-1
MOL000098,SOD2,superoxide dismutase 2
MOL000098,HIF1A,hypoxia inducible factor 1 subunit alpha
MOL000098,IL1A,interleukin 1 alpha
MOL000098,HDAC4,histone deacetylase 4
MOL000098,STS,steroid sulfatase
MOL000098,NOS1,nitric oxide synthase 1
MOL000098,SREBF1,sterol regulatory element binding transcription factor 1
MOL000098,MAPK7,mitogen-activated protein kinase 7
MOL000098,XBP1,X-box binding protein 1
MOL000098,FGF2,fibroblast growth factor 2
MOL000098,LILRB1,leukocyte immunoglobulin like receptor B1
MOL000098,SIRT3,sirtuin 3
MOL000098,CHUK,component of inhibitor of nuclear factor kappa B kinase complex
MOL000098,ADA,adenosine deaminase
MOL000098,TLR3,toll like receptor 3
MOL000098,ROCK2,Rho associated coiled-coil containing protein kinase 2
