ingredient_name,Gene_symbol,Mol_ID
quercetin,NOX4,MOL000098
quercetin,AVPR2,MOL000098
quercetin,AKR1B1,MOL000098
quercetin,XDH,MOL000098
quercetin,MAOA,MOL000098
quercetin,IGF1R,MOL000098
quercetin,FLT3,MOL000098
quercetin,CYP19A1,MOL000098
quercetin,EGFR,MOL000098
quercetin,F2,MOL000098
quercetin,CA2,MOL000098
quercetin,PIM1,MOL000098
quercetin,ALOX5,MOL000098
quercetin,AURKB,MOL000098
quercetin,DRD4,MOL000098
quercetin,ADORA1,MOL000098
quercetin,CA7,MOL000098
quercetin,GLO1,MOL000098
quercetin,MPO,MOL000098
quercetin,PIK3R1,MOL000098
quercetin,ADORA2A,MOL000098
quercetin,DAPK1,MOL000098
quercetin,PYGL,MOL000098
quercetin,CA1,MOL000098
quercetin,GSK3B,MOL000098
quercetin,SRC,MOL000098
quercetin,PTK2,MOL000098
quercetin,HSD17B2,MOL000098
quercetin,KDR,MOL000098
quercetin,MMP13,MOL000098
quercetin,MMP3,MOL000098
quercetin,CA3,MOL000098
quercetin,ALOX15,MOL000098
quercetin,ABCC1,MOL000098
quercetin,PLK1,MOL000098
quercetin,CA6,MOL000098
quercetin,CDK1,MOL000098
quercetin,MMP9,MOL000098
quercetin,CA12,MOL000098
quercetin,MMP2,MOL000098
quercetin,PKN1,MOL000098
quercetin,CA14,MOL000098
quercetin,CA9,MOL000098
quercetin,CSNK2A1,MOL000098
quercetin,ALOX12,MOL000098
quercetin,MET,MOL000098
quercetin,CA4,MOL000098
quercetin,NEK2,MOL000098
quercetin,CXCR1,MOL000098
quercetin,CAMK2B,MOL000098
quercetin,ALK,MOL000098
quercetin,AKT1,MOL000098
quercetin,ABCB1,MOL000098
quercetin,NEK6,MOL000098
quercetin,PLA2G1B,MOL000098
quercetin,CA5A,MOL000098
quercetin,BACE1,MOL000098
quercetin,CYP1B1,MOL000098
quercetin,AXL,MOL000098
quercetin,ABCG2,MOL000098
quercetin,NUAK1,MOL000098
quercetin,AKR1C2,MOL000098
quercetin,AKR1C1,MOL000098
quercetin,AKR1C3,MOL000098
quercetin,AKR1C4,MOL000098
quercetin,CA13,MOL000098
quercetin,AKR1A1,MOL000098
quercetin,GPR35,MOL000098
quercetin,MAPT,MOL000098
quercetin,KDM4E,MOL000098
quercetin,TOP2A,MOL000098
quercetin,INSR,MOL000098
quercetin,ACHE,MOL000098
quercetin,MYLK,MOL000098
quercetin,SYK,MOL000098
quercetin,PIK3CG,MOL000098
quercetin,APEX1,MOL000098
quercetin,PTPRS,MOL000098
quercetin,ESR2,MOL000098
quercetin,MPG,MOL000098
quercetin,SLC22A12,MOL000098
quercetin,CDK5R1,MOL000098
quercetin,CCNB3,MOL000098
quercetin,ARG1,MOL000098
quercetin,CDK6,MOL000098
quercetin,CDK2,MOL000098
quercetin,TYR,MOL000098
quercetin,HSD17B1,MOL000098
quercetin,AHR,MOL000098
quercetin,ESRRA,MOL000098
quercetin,APP,MOL000098
quercetin,PARP1,MOL000098
quercetin,TTR,MOL000098
quercetin,MMP12,MOL000098
quercetin,CD38,MOL000098
quercetin,AKR1B10,MOL000098
quercetin,TNKS2,MOL000098
quercetin,TNKS,MOL000098
quercetin,TOP1,MOL000098
quercetin,TERT,MOL000098
Jaranol,AKR1B1,MOL000239
Jaranol,ADORA1,MOL000239
Jaranol,ADORA2A,MOL000239
Jaranol,NOX4,MOL000239
Jaranol,ABCB1,MOL000239
Jaranol,MCL1,MOL000239
Jaranol,ABCG2,MOL000239
Jaranol,ESR2,MOL000239
Jaranol,SLC22A12,MOL000239
Jaranol,OPRD1,MOL000239
Jaranol,HSD17B2,MOL000239
Jaranol,HSD17B1,MOL000239
Jaranol,FLT3,MOL000239
Jaranol,BACE1,MOL000239
Jaranol,CYP1B1,MOL000239
Jaranol,ADORA3,MOL000239
Jaranol,APP,MOL000239
Jaranol,PIM1,MOL000239
Jaranol,PLG,MOL000239
Jaranol,EGFR,MOL000239
Jaranol,KIT,MOL000239
Jaranol,PIK3CG,MOL000239
Jaranol,ALK,MOL000239
Jaranol,XDH,MOL000239
Jaranol,NOS2,MOL000239
Jaranol,PTGS2,MOL000239
Jaranol,OPRM1,MOL000239
Jaranol,CA2,MOL000239
Jaranol,CA7,MOL000239
Jaranol,CA12,MOL000239
Jaranol,MAPT,MOL000239
Jaranol,TOP2A,MOL000239
Jaranol,INSR,MOL000239
Jaranol,MYLK,MOL000239
Jaranol,APEX1,MOL000239
Jaranol,ESR1,MOL000239
Jaranol,AKT1,MOL000239
Jaranol,ALOX5,MOL000239
Jaranol,ODC1,MOL000239
Jaranol,MMP9,MOL000239
Jaranol,MMP2,MOL000239
Jaranol,CA4,MOL000239
