Mol_ID,Description,Gene_symbol
MOL000033,Progesterone receptor,PGR
MOL000098,Interleukin-8,CXCL8
MOL000098,Tumor necrosis factor,STEAP4
MOL000098,Prostaglandin E2 receptor EP3 subtype,PTGER3
MOL000098,Heat shock protein beta-1,HEL-S-102
MOL000098,Nuclear receptor coactivator 2,NCOA2
MOL000098,Protein kinase C beta type,PRKCB
MOL000098,Potassium voltage-gated channel subfamily H member 2,KCNH2
MOL000098,Interleukin-2,IL2
MOL000098,Transforming growth factor beta-1,TGFB1
MOL000098,E-selectin,SELE
MOL000098,Peroxisome proliferator activated receptor gamma,PPARG
MOL000098,Cytochrome P450 1B1,CYP1B1
MOL000098,Interleukin-6,IL6
MOL000098,Insulin receptor,INSR
MOL000098,Baculoviral IAP repeat-containing protein 5,BIRC5
MOL000098,Dual oxidase 2,DUOX2
MOL000098,Estrogen sulfotransferase,SULT1E1
MOL000098,Cytochrome P450 1A1,CYP1A1
MOL000098,Sodium channel protein type 5 subunit alpha,SCN5A
MOL000098,Vascular cell adhesion protein 1,VCAM1
MOL000098,Beta-2 adrenergic receptor,ADRB2
MOL000098,Nuclear receptor subfamily 1 group I member 2,NR1I2
MOL000098,Heme oxygenase 1,HMOX1
MOL000098,Prostaglandin G/H synthase 2,PTGS2
MOL000098,Coagulation factor VII,F7
MOL000098,Dipeptidyl peptidase IV,DPP4
MOL000098,Aldose reductase,AKR1B1
MOL000098,Trypsin-1,PRSS1
MOL000098,C-reactive protein,CRP
MOL000098,C-X-C motif chemokine 10,CXCL10
MOL000098,C-C motif chemokine 2,CCL2
MOL000098,Androgen receptor,AR
MOL000098,Retinoblastoma-associated protein,RB1
MOL000098,Cytochrome P450 3A4,CYP3A4
MOL000098,Cytochrome P450 1A2,CYP1A2
MOL000098,Retinoic acid receptor RXR-alpha,RXRA
MOL000098,Acetylcholinesterase,ACHE
MOL000098,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1
MOL000098,Urokinase-type plasminogen activator,ATF
MOL000098,Poly [ADP-ribose] polymerase 1,PARP1
MOL000098,72 kDa type IV collagenase,MMP2
MOL000098,Inhibitor of nuclear factor kappa-B kinase subunit alpha,CHUK
MOL000098,Osteopontin,opn
MOL000098,Runt-related transcription factor 2,RUNX2
MOL000098,Stromelysin-1,MMP3
MOL000098,Bcl-2-like protein 1,BCL2L1
MOL000098,C-X-C motif chemokine 2,CXCL2
MOL000098,DDB1- and CUL4-associated factor 5,DCAF5
MOL000098,Nuclear receptor subfamily 1 group I member 3,NR1I3
MOL000098,Claudin-4,CLDN4
MOL000098,Peroxisome proliferator-activated receptor alpha,NR1C1
MOL000098,DNA topoisomerase II,TOP2A
MOL000098,Heat shock factor protein 1,HSF1
MOL000098,ETS domain-containing protein Elk-1,ELK1
MOL000098,Intercellular adhesion molecule 1,ICAM1
MOL000098,Interleukin-1 beta,IL1B
MOL000098,Prostaglandin G/H synthase 1,PTGS1
MOL000098,Pro-epidermal growth factor,EGF
MOL000098,C-X-C motif chemokine 11,CXCL11
MOL000098,Transcription factor E2F1,E2F1
MOL000098,Transcription factor E2F2,E2F2
MOL000098,G2/mitotic-specific cyclin-B1,CCNB1
MOL000098,Tissue-type plasminogen activator,PLAT
MOL000098,Thrombomodulin,THBD
MOL000098,Peroxisome proliferator-activated receptor delta,PPARD
MOL000098,Amine oxidase [flavin-containing] B,MAOB
MOL000098,Transcription factor p65,RELA
MOL000098,NF-kappa-B inhibitor alpha,IkBa
MOL000098,NADPH--cytochrome P450 reductase,POR
MOL000098,Ornithine decarboxylase,ODC1
MOL000098,Xanthine dehydrogenase/oxidase,XDH
MOL000098,Ras association domain-containing protein 1,RASSF1
MOL000098,Receptor tyrosine-protein kinase erbB-2,ERBB2
MOL000098,Proto-oncogene c-Fos,FOS
MOL000098,Cyclin-dependent kinase inhibitor 1,CDKN1A
MOL000098,Eukaryotic translation initiation factor 6,EIF6
MOL000098,Apoptosis regulator BAX,BAX
MOL000098,Plasminogen activator inhibitor 1,SERPINE1
MOL000098,Gap junction alpha-1 protein,CXNK1
MOL000098,Aryl hydrocarbon receptor,AHR
MOL000098,Matrix metalloproteinase-9,MMP9
MOL000098,Mitogen-activated protein kinase 1,MAPK1
MOL000098,Interleukin-10,IL10
MOL000098,Caspase-8,CASP8
MOL000098,DNA topoisomerase 1,TOP1
MOL000098,RAF proto-oncogene serine/threonine-protein kinase,RAF1
MOL000098,Prostatic acid phosphatase,ACP3
MOL000098,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1
MOL000098,Caspase-3,CASP3
MOL000098,Cellular tumor antigen p53,p53
MOL000098,Interferon regulatory factor 1,IRF1
MOL000098,Epidermal growth factor receptor,c-erbB
MOL000098,RAC-alpha serine/threonine-protein kinase,AKT1
MOL000098,Vascular endothelial growth factor A,VEGFA
MOL000098,G1/S-specific cyclin-D1,CCND1
MOL000098,Apoptosis regulator Bcl-2,BCL2
MOL000098,Hexokinase-2,DKFZp686M1669
MOL000098,Peroxisome proliferator-activated receptor gamma,PPARG
MOL000098,Acetyl-CoA carboxylase 1,ACACA
MOL000098,Cathepsin D,CTSD
MOL000098,Insulin-like growth factor-binding protein 3,IGFBP3
MOL000098,Insulin-like growth factor II,IGF2
MOL000098,CD40 ligand,CD40LG
MOL000098,Signal transducer and activator of transcription 1-alpha/beta,STAT1
MOL000098,Receptor tyrosine-protein kinase erbB-3,ERBB3
MOL000098,26S proteasome non-ATPase regulatory subunit 3,PSMD3
MOL000098,Puromycin-sensitive aminopeptidase,NPEPPS
MOL000098,78 kDa glucose-regulated protein,HEL-S-89n
MOL000098,Homeobox protein Nkx-3.1,NKX3-1
MOL000098,Caveolin-1,CAV1
MOL000098,Myc proto-oncogene protein,MYC
MOL000098,Tissue factor,F3
MOL000098,Caspase-9,CASP9
MOL000098,Nuclear factor erythroid 2-related factor 2,NFE2L2
