"Mol_ID","Gene_symbol","Data_base"
"MOL000392","ALB","CTD"
"MOL000392","BAX","CTD"
"MOL000392","AKR1B10","CTD"
"MOL000392","AKT1","CTD"
"MOL000392","AHR","CTD"
"MOL000392","ACP5","CTD"
"MOL000392","ABCC4","CTD"
"MOL000392","VTG1","CTD"
"MOL000392","MMP9","CTD"
"MOL000392","MDM4","CTD"
"MOL000392","NFATC1","CTD"
"MOL000392","BCL2","CTD"
"MOL000392","MDM2","CTD"
"MOL000392","CTSK","CTD"
"MOL000392","GCLM","CTD"
"MOL000392","ABCC2","CTD"
"MOL000392","CPT1A","CTD"
"MOL000392","NFKBIA","CTD"
"MOL000392","CXCL8","CTD"
"MOL000392","TRPV6","CTD"
"MOL000392","TXNIP","CTD"
"MOL000392","TLR4","CTD"
"MOL000392","CASP3","CTD"
"MOL000392","CASP7","CTD"
"MOL000392","CCND1","CTD"
"MOL000392","CYP19A1B","CTD"
"MOL000392","TP53","CTD"
"MOL000392","ABCC1","CTD"
"MOL000392","PRKAA2","CTD"
"MOL000392","CASP8","CTD"
"MOL000392","NFE2L2","CTD"
"MOL000392","TRPV5","CTD"
"MOL000392","NGF","CTD"
"MOL000392","TFB2M","CTD"
"MOL000392","UTP14C","CTD"
"MOL000392","UGT1A1","CTD"
"MOL000392","CCNB1","CTD"
"MOL000392","HAVCR1","CTD"
"MOL000392","HIF1A","CTD"
"MOL000392","MATN3","CTD"
"MOL000392","PRKAA1","CTD"
"MOL000392","UGT1A10","CTD"
"MOL000392","NLRP3","CTD"
"MOL000392","TXNRD1","CTD"
"MOL000392","IL17A","CTD"
"MOL000392","FOS","CTD"
"MOL000392","UGT1A9","CTD"
"MOL000392","PPARG","CTD"
"MOL000392","PPARGC1A","CTD"
"MOL000392","CYP1A1","CTD"
"MOL000392","IL4","CTD"
"MOL000392","IL6","CTD"
"MOL000392","HMOX1","CTD"
"MOL000392","CASP9","CTD"
"MOL000392","NQO1","CTD"
"MOL000392","PGC","CTD"
"MOL000392","NOS3","CTD"
"MOL000392","MAPK8","CTD"
"MOL000392","EPO","CTD"
"MOL000392","CYP1A2","CTD"
"MOL000392","TFAM","CTD"
"MOL000392","UGT1A7","CTD"
"MOL000392","MAPK3","CTD"
"MOL000392","ESR1","CTD"
"MOL000392","CYP1B1","CTD"
"MOL000392","ABCB1","CTD"
"MOL000392","RORA","CTD"
"MOL000392","RORC","CTD"
"MOL000392","ESR2","CTD"
"MOL000392","PTGS2","CTD"
"MOL000392","TAGLN","CTD"
"MOL000392","SOD1","CTD"
"MOL000392","PRKACB","CTD"
"MOL000392","STK11","CTD"
"MOL000392","JUN","CTD"
"MOL000392","UGT1A8","CTD"
"MOL000392","SOD2","CTD"
"MOL000392","CYP2D6","CTD"
"MOL000392","SLC22A2","CTD"
"MOL000392","MAPK1","CTD"
"MOL000392","SIRT3","CTD"
"MOL000392","SLC6A14","CTD"
"MOL000392","SIRT1","CTD"
"MOL004911","MMP9","CTD"
"MOL004911","VEGFA","CTD"
"MOL004911","MMP1","CTD"
"MOL004911","VIM","CTD"
"MOL004911","MAPK3","CTD"
"MOL004911","FGFR3","CTD"
"MOL004911","MAPK1","CTD"
"MOL004911","IGF1","CTD"
"MOL004908","CASP8","CTD"
"MOL004908","PARP1","CTD"
"MOL004908","BCL2","CTD"
"MOL004908","OCLN","CTD"
"MOL004908","BAX","CTD"
"MOL004908","CASP3","CTD"
"MOL004908","ZEB1","CTD"
"MOL004908","UGT1A10","CTD"
"MOL004908","CASP9","CTD"
"MOL004908","MAPK3","CTD"
"MOL004908","UGT1A1","CTD"
"MOL004908","CYP3A4","CTD"
"MOL004908","ABCB1","CTD"
"MOL004908","CDH1","CTD"
"MOL004908","VIM","CTD"
"MOL004908","CYP2J2","CTD"
"MOL004908","UGT2B15","CTD"
"MOL004908","TYR","CTD"
"MOL004908","CYCS","CTD"
"MOL004908","CYP2C8","CTD"
"MOL004908","UGT2B7","CTD"
"MOL004908","MAPK1","CTD"
"MOL004908","UGT1A3","CTD"
"MOL004908","UGT1A9","CTD"
"MOL004908","UGT1A8","CTD"
"MOL004879","DYRK1A","CTD"
"MOL002311","PTGS2","CTD"
"MOL002311","IL1B","CTD"
"MOL002311","NFKBIA","CTD"
"MOL002311","NOS2","CTD"
"MOL002311","IL6","CTD"
"MOL000422","CYP1A2","CTD"
"MOL000422","CYP1A1","CTD"
"MOL000422","TFAM","CTD"
"MOL000422","OPA1","CTD"
"MOL000422","CYP1B1","CTD"
"MOL000422","CYP2E1","CTD"
"MOL000422","OCLN","CTD"
"MOL000422","CYP2C9","CTD"
"MOL000422","NR1I3","CTD"
"MOL000422","MYL2","CTD"
"MOL000422","CYCS","CTD"
"MOL000422","MYBL1","CTD"
"MOL000422","PDGFRB","CTD"
"MOL000422","PGR","CTD"
"MOL000422","PCNA","CTD"
"MOL000422","CYCB","CTD"
"MOL000422","DUOX1","CTD"
"MOL000422","EP300","CTD"
"MOL000422","TFF1","CTD"
"MOL000422","PDGFB","CTD"
"MOL000422","NCOA3","CTD"
"MOL000422","NFE2L2","CTD"
"MOL000422","NFKBIA","CTD"
"MOL000422","DIO2","CTD"
"MOL000422","GADD45B","CTD"
"MOL000422","GCLC","CTD"
"MOL000422","GPT","CTD"
"MOL000422","NANOG","CTD"
"MOL000422","TGFA","CTD"
"MOL000422","TGFB1","CTD"
"MOL000422","THRA","CTD"
"MOL000422","GREB1","CTD"
"MOL000422","TJP1","CTD"
"MOL000422","CYP3A4","CTD"
"MOL000422","NR1H4","CTD"
"MOL000422","THRA.L","CTD"
"MOL000422","CXCL8","CTD"
"MOL000422","NQO1","CTD"
"MOL000422","GSTA1","CTD"
"MOL000422","NR1I2","CTD"
"MOL000422","GSTP1","CTD"
"MOL000422","GSK3B","CTD"
"MOL000422","NOS2","CTD"
"MOL000422","GSTM2","CTD"
"MOL000422","DHRS11","CTD"
"MOL000422","H2AX","CTD"
"MOL000422","POU5F1","CTD"
"MOL000422","PPARG","CTD"
"MOL000422","PPARGC1A","CTD"
"MOL000422","PRKAA1","CTD"
"MOL000422","B3GALT5","CTD"
"MOL000422","BAD","CTD"
"MOL000422","PARP1","CTD"
"MOL000422","BBC3","CTD"
"MOL000422","BCL2","CTD"
"MOL000422","BCL2A1","CTD"
"MOL000422","CYP7A1","CTD"
"MOL000422","PIK3CG","CTD"
"MOL000422","DHRS4","CTD"
"MOL000422","FOS","CTD"
"MOL000422","MMP9","CTD"
"MOL000422","MOD2","CTD"
"MOL000422","MT2A","CTD"
"MOL000422","MUC5AC","CTD"
"MOL000422","ADIPOQ","CTD"
"MOL000422","AFP","CTD"
