Mol_ID,Gene_symbol
MOL000392,ALB
MOL000392,BAX
MOL000392,AKR1B10
MOL000392,AKT1
MOL000392,AHR
MOL000392,ACP5
MOL000392,ABCC4
MOL000392,VTG1
MOL000392,MMP9
MOL000392,MDM4
MOL000392,NFATC1
MOL000392,BCL2
MOL000392,MDM2
MOL000392,CTSK
MOL000392,GCLM
MOL000392,ABCC2
MOL000392,CPT1A
MOL000392,NFKBIA
MOL000392,CXCL8
MOL000392,TRPV6
MOL000392,TXNIP
MOL000392,TLR4
MOL000392,CASP3
MOL000392,CASP7
MOL000392,CCND1
MOL000392,CYP19A1B
MOL000392,TP53
MOL000392,ABCC1
MOL000392,PRKAA2
MOL000392,CASP8
MOL000392,NFE2L2
MOL000392,TRPV5
MOL000392,NGF
MOL000392,TFB2M
MOL000392,UTP14C
MOL000392,UGT1A1
MOL000392,CCNB1
MOL000392,HAVCR1
MOL000392,HIF1A
MOL000392,MATN3
MOL000392,PRKAA1
MOL000392,UGT1A10
MOL000392,NLRP3
MOL000392,TXNRD1
MOL000392,IL17A
MOL000392,FOS
MOL000392,UGT1A9
MOL000392,PPARG
MOL000392,PPARGC1A
MOL000392,CYP1A1
MOL000392,IL4
MOL000392,IL6
MOL000392,HMOX1
MOL000392,CASP9
MOL000392,NQO1
MOL000392,PGC
MOL000392,NOS3
MOL000392,MAPK8
MOL000392,EPO
MOL000392,CYP1A2
MOL000392,TFAM
MOL000392,UGT1A7
MOL000392,MAPK3
MOL000392,ESR1
MOL000392,CYP1B1
MOL000392,ABCB1
MOL000392,RORA
MOL000392,RORC
MOL000392,ESR2
MOL000392,PTGS2
MOL000392,TAGLN
MOL000392,SOD1
MOL000392,PRKACB
MOL000392,STK11
MOL000392,JUN
MOL000392,UGT1A8
MOL000392,SOD2
MOL000392,CYP2D6
MOL000392,SLC22A2
MOL000392,MAPK1
MOL000392,SIRT3
MOL000392,SLC6A14
MOL000392,SIRT1
MOL004911,MMP9
MOL004911,VEGFA
MOL004911,MMP1
MOL004911,VIM
MOL004911,MAPK3
MOL004911,FGFR3
MOL004911,MAPK1
MOL004911,IGF1
MOL004908,CASP8
MOL004908,PARP1
MOL004908,BCL2
MOL004908,OCLN
MOL004908,BAX
MOL004908,CASP3
MOL004908,ZEB1
MOL004908,UGT1A10
MOL004908,CASP9
MOL004908,MAPK3
MOL004908,UGT1A1
MOL004908,CYP3A4
MOL004908,ABCB1
MOL004908,CDH1
MOL004908,VIM
MOL004908,CYP2J2
MOL004908,UGT2B15
MOL004908,TYR
MOL004908,CYCS
MOL004908,CYP2C8
MOL004908,UGT2B7
MOL004908,MAPK1
MOL004908,UGT1A3
MOL004908,UGT1A9
MOL004908,UGT1A8
MOL004879,DYRK1A
MOL002311,PTGS2
MOL002311,IL1B
MOL002311,NFKBIA
MOL002311,NOS2
MOL002311,IL6
MOL000422,CYP1A2
MOL000422,CYP1A1
MOL000422,TFAM
MOL000422,OPA1
MOL000422,CYP1B1
MOL000422,CYP2E1
MOL000422,OCLN
MOL000422,CYP2C9
MOL000422,NR1I3
MOL000422,MYL2
MOL000422,CYCS
