Mol_ID,Gene_symbol,Description
MOL000358,ACHE,acetylcholinesterase (Cartwright blood group)
MOL000358,ADRA1D,adrenoceptor alpha 1D
MOL000358,ADRA1B,adrenoceptor alpha 1B
MOL000358,ADRB2,adrenoceptor beta 2
MOL000358,AR,androgen receptor
MOL000358,BAX,"BCL2 associated X, apoptosis regulator"
MOL000358,BCL2,BCL2 apoptosis regulator
MOL000358,CA2,carbonic anhydrase 2
MOL000358,CASP3,caspase 3
MOL000358,CASP8,caspase 8
MOL000358,CASP9,caspase 9
MOL000358,CCNA2,cyclin A2
MOL000358,CDK2,cyclin dependent kinase 2
MOL000358,CHEK1,checkpoint kinase 1
MOL000358,CHRM1,cholinergic receptor muscarinic 1
MOL000358,CHRM2,cholinergic receptor muscarinic 2
MOL000358,CHRM3,cholinergic receptor muscarinic 3
MOL000358,CHRM4,cholinergic receptor muscarinic 4
MOL000358,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit
MOL000358,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL000358,MAPK14,mitogen-activated protein kinase 14
MOL000358,DPEP1,dipeptidase 1
MOL000358,DPP4,dipeptidyl peptidase 4
MOL000358,DRD1,dopamine receptor D1
MOL000358,ESR1,estrogen receptor 1
MOL000358,ESR2,estrogen receptor 2
MOL000358,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL000358,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL000358,GSK3B,glycogen synthase kinase 3 beta
MOL000358,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
MOL000358,KCNH2,potassium voltage-gated channel subfamily H member 2
MOL000358,MAP2,microtubule associated protein 2
MOL000358,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL000358,NOS2,nitric oxide synthase 2
MOL000358,OPRM1,opioid receptor mu 1
MOL000358,PDE3A,phosphodiesterase 3A
MOL000358,PGR,progesterone receptor
MOL000358,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL000358,PON1,paraoxonase 1
MOL000358,PPARG,peroxisome proliferator activated receptor gamma
MOL000358,PRKCA,protein kinase C alpha
MOL000358,PRSS1,serine protease 1
MOL000358,PTGS1,prostaglandin-endoperoxide synthase 1
MOL000358,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000358,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL000358,SLC6A4,solute carrier family 6 member 4
MOL000358,TGFB1,transforming growth factor beta 1
MOL000358,NCOA2,nuclear receptor coactivator 2
MOL000569,AKR1B1,aldo-keto reductase family 1 member B
MOL000569,CDK2,cyclin dependent kinase 2
MOL000569,MAPK14,mitogen-activated protein kinase 14
MOL000569,ESR1,estrogen receptor 1
MOL000569,POLA1,"DNA polymerase alpha 1, catalytic subunit"
MOL000569,POLB,DNA polymerase beta
MOL000569,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000569,ANTXR2,ANTXR cell adhesion molecule 2
MOL000006,ARSI,arylsulfatase family member I
MOL000006,ERN1,endoplasmic reticulum to nucleus signaling 1
MOL000006,IL10,interleukin 10
MOL000006,NLRP3,NLR family pyrin domain containing 3
MOL000006,STAT3,signal transducer and activator of transcription 3
MOL000006,IL1B,interleukin 1 beta
MOL000006,SCTR,secretin receptor
MOL000006,CCT4,chaperonin containing TCP1 subunit 4
MOL000006,KEAP1,kelch like ECH associated protein 1
MOL000006,CASP3,caspase 3
MOL000006,STAR,steroidogenic acute regulatory protein
MOL000006,HMOX1,heme oxygenase 1
MOL000006,NQO1,NAD(P)H quinone dehydrogenase 1
MOL000006,CASP1,caspase 1
MOL000006,BCL2,BCL2 apoptosis regulator
MOL000006,ATP7B,ATPase copper transporting beta
MOL000006,IL4,interleukin 4
MOL000006,AKT1,AKT serine/threonine kinase 1
MOL000006,GATA3,GATA binding protein 3
MOL000006,GABPA,GA binding protein transcription factor subunit alpha
MOL000006,CASP9,caspase 9
MOL000006,APP,amyloid beta precursor protein
MOL000006,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL000006,NOS2,nitric oxide synthase 2
MOL000006,FAS,Fas cell surface death receptor
MOL000006,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000006,HLA-B,"major histocompatibility complex, class I, B"
MOL000006,PPARG,peroxisome proliferator activated receptor gamma
MOL000006,PRKAB1,protein kinase AMP-activated non-catalytic subunit beta 1
MOL000006,CYP21A2,cytochrome P450 family 21 subfamily A member 2
MOL000006,TJP1,tight junction protein 1
MOL000006,TNF,tumor necrosis factor
MOL000006,GSTA1,glutathione S-transferase alpha 1
MOL000006,MMP9,matrix metallopeptidase 9
MOL000006,BMP2,bone morphogenetic protein 2
MOL000006,YAP1,Yes1 associated transcriptional regulator
MOL000006,CCL2,C-C motif chemokine ligand 2
MOL000006,DLG4,discs large MAGUK scaffold protein 4
MOL000006,TXNIP,thioredoxin interacting protein
MOL000006,SOD1,superoxide dismutase 1
MOL000006,CFL1,cofilin 1
MOL000006,TPH1,tryptophan hydroxylase 1
MOL000006,MAPK14,mitogen-activated protein kinase 14
MOL000006,CHEK1,checkpoint kinase 1
MOL000006,LATS1,large tumor suppressor kinase 1
MOL000006,LIMK1,LIM domain kinase 1
MOL000006,CYCS,"cytochrome c, somatic"
MOL000006,GSDMD,gasdermin D
MOL000006,KMT2A,lysine methyltransferase 2A
MOL000006,HMGB1,high mobility group box 1
MOL000006,IL18,interleukin 18
MOL000006,UBR5,ubiquitin protein ligase E3 component n-recognin 5
MOL000006,CCND1,cyclin D1
MOL000006,SIRT3,sirtuin 3
MOL000006,EPHB2,EPH receptor B2
MOL000006,CDKN1A,cyclin dependent kinase inhibitor 1A
MOL000006,BDNF,brain derived neurotrophic factor
MOL000006,TP53,tumor protein p53
MOL000006,BAX,"BCL2 associated X, apoptosis regulator"
MOL000006,PARP1,poly(ADP-ribose) polymerase 1
MOL000006,GSTT2,glutathione S-transferase theta 2 (gene/pseudogene)
MOL000006,MIR34A,microRNA 34a
MOL000006,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
MOL000006,SCNN1A,sodium channel epithelial 1 subunit alpha
