Mol_ID,Gene_symbol
MOL000098,CLDN4
MOL000098,SPP1
MOL000098,MLXIPL
MOL000098,CRP
MOL000098,ABCA1
MOL000098,CPT1A
MOL000098,NR1I2
MOL000098,BAX
MOL000098,HSF1
MOL000098,TNF
MOL000098,CYP2C19
MOL000098,PIK3CA
MOL000098,APOE
MOL000098,PRKCB
MOL000098,CEBPB
MOL000098,AKT1
MOL000098,CDK1
MOL000098,CREB1
MOL000098,HSP90AA1
MOL000098,CLDN5
MOL000098,CXCL10
MOL000098,PTGS2
MOL000098,NKX3-1
MOL000098,PTK2B
MOL000098,UQCRC1
MOL000098,CD86
MOL000098,BCL2L1
MOL000098,VDR
MOL000098,CCL2
MOL000098,TBK1
MOL000098,INSR
MOL000098,P2RX4
MOL000098,NGF
MOL000098,CCND1
MOL000098,GCK
MOL000098,MAPK3
MOL000098,PTEN
MOL000098,IFNG
MOL000098,PTGS1
MOL000098,GK
MOL000098,CYP3A4
MOL000098,MAP3K5
MOL000098,ABCG2
MOL000098,MAPK14
MOL000098,UGT1A3
MOL000098,AXIN1
MOL000098,CD40LG
MOL000098,MECP2
MOL000098,HVCN1
MOL000098,PARP1
MOL000098,MMP2
MOL000098,IL2
MOL000098,LPCAT1
MOL000098,SULT1E1
MOL000098,MUC5AC
MOL000098,UGT1A1
MOL000098,HMOX1
MOL000098,ADIPOQ
MOL000098,TXN
MOL000098,NR1I3
MOL000098,CASP3
MOL000098,CSF2
MOL000098,GAA
MOL000098,JAK2
MOL000098,TYR
MOL000098,SLC2A4
MOL000098,HSP90B2P
MOL000098,HSPB1
MOL000098,DNAJC5
MOL000098,HSPA4
MOL000098,CASP8
MOL000098,CRTC1
MOL000098,CSF3
MOL000098,GSTM1
MOL000098,ATF4
MOL000098,TGFB1
MOL000098,SLC2A1
MOL000098,HIF1A
MOL000098,SCD
MOL000098,VCAM1
MOL000098,NLRP3
MOL000098,PGP
MOL000098,HK2
MOL000098,HSPA5
MOL000098,CAV1
MOL000098,AHR
MOL000098,MCL1
MOL000098,CASP9
MOL000098,LPCAT2
MOL000098,STAT1
MOL000098,ICAM1
MOL000098,ESRRB
MOL000098,NFE2L2
MOL000098,AR
MOL000098,NPEPPS
MOL000098,CDKN1A
MOL000098,NDUFV2
MOL000098,CYP1A2
MOL000098,SLC16A1
MOL000098,SIRT1
MOL000098,MYC
MOL000098,IRF1
MOL000098,IGFBP3
MOL000098,ESRRA
MOL000098,RELA
MOL000098,EIF2S1
MOL000098,TJP1
MOL000098,E2F1
MOL000098,ERBB2
MOL000098,NQO1
MOL000098,POR
MOL000098,NCF1
MOL000098,CYP2E1
MOL000098,TOP1
MOL000098,MMP9
MOL000098,CYP2C8
MOL000098,CXCL8
MOL000098,VEGFA
MOL000098,MAPK8
MOL000098,MAPK1
MOL000098,ELK1
MOL000098,EGR1
MOL000098,ACE2
MOL000098,COMT
MOL000098,EGFR
MOL000098,CHUK
MOL000098,CYP1A1
MOL000098,MTOR
MOL000098,PIK3CB
MOL000098,IL17A
MOL000098,NRF1
MOL000098,RAF1
MOL000098,CHEK2
MOL000098,BCL2
MOL000098,CD274
MOL000098,MAOA
MOL000098,MMP1
MOL000098,IL1B
MOL000098,IL10
MOL000098,BMP2
MOL000098,CTSD
MOL000098,CCNB1
MOL000098,MPO
MOL000098,ACHE
MOL000098,VIM
MOL000098,NFKBIA
MOL000098,CDH1
MOL000098,TOP2A
MOL000098,VTN
MOL000098,NOS3
MOL000098,LEF1
MOL000098,PTX3
MOL000098,SERPINE1
MOL000098,PON1
MOL000098,PRKAA2
MOL000098,PTPN11
MOL000098,PPARA
MOL000098,VIM2P
MOL000098,TP53
MOL000098,NR1H3
MOL000098,NFKB1
MOL000098,SLPI
MOL000098,LGALS1
MOL000098,TXNIP
MOL000098,RASSF1
MOL000098,CTNNB1
MOL000098,CYP1B1
MOL000098,SLC23A1
MOL000098,IL1A
MOL000098,USP10
MOL000098,AURKB
MOL000098,PRKAA1
MOL000098,COL1A1
MOL000098,GSTP1
MOL000098,GSK3B
MOL000098,CXCL2
MOL000098,MRC1
MOL000098,KHK
MOL000098,E2F2
MOL000098,XDH
MOL000098,ODC1
