Mol_ID,Gene_symbol
MOL000358,NPC1L1
MOL000358,NR1H3
MOL000358,RORC
MOL000358,SHBG
MOL000358,HMGCR
MOL000358,CYP17A1
MOL000358,SREBF2
MOL000358,CYP19A1
MOL000358,AR
MOL000358,CYP51A1
MOL000358,RORA
MOL000358,ESR1
MOL000358,ESR2
MOL000358,PTPN1
MOL000358,CYP2C19
MOL000358,ACHE
MOL000358,SERPINA6
MOL000358,G6PD
MOL000358,SLC6A2
MOL000358,SLC6A4
MOL000358,BCHE
MOL000358,CHRM2
MOL000358,NR1I3
MOL000358,NR1H2
MOL000358,VDR
MOL000358,PTGER1
MOL000358,PTGER2
MOL000358,TBXAS1
MOL000358,PTGES
MOL000358,DHCR7
MOL000358,PPARD
MOL000358,SQLE
MOL000358,GLRA1
MOL000358,HSD11B1
MOL000358,PTPN6
MOL000358,PTPN2
MOL000358,FDFT1
MOL000358,CES2
MOL000358,NOS2
MOL000358,PPARG
MOL000358,UGT2B7
MOL000358,NR3C1
MOL000358,POLB
MOL000358,PREP
MOL000358,SIGMAR1
MOL000358,PTGER4
MOL000358,IDO1
MOL000358,DNM1
MOL000358,ATP12A
MOL000358,ICMT
MOL000358,SMO
MOL000358,PTGIR
MOL000358,FABP4
MOL000358,TERT
MOL000358,FABP3
MOL000358,FABP5
MOL000358,FABP1
MOL000358,MDM2
MOL000358,SLC6A3
MOL000358,ADORA3
MOL000358,MAPK3
MOL000358,PRKCH
MOL000358,PTPN11
MOL000358,AKR1B10
MOL000358,S1PR3
MOL000358,S1PR1
MOL000358,CXCR3
MOL000358,PTPRF
MOL000358,PLA2G1B
MOL000358,ACP1
MOL000358,PYGL
MOL000358,PDE4A
MOL000358,PDE4B
MOL000358,PDE4C
MOL000358,SHH
MOL000358,METAP1
MOL000358,HSD11B2
MOL000358,HCRTR2
MOL000358,HCRTR1
MOL000358,GC
MOL000358,PPARA
MOL000358,TOP2A
MOL000358,ITGAL
MOL000358,F2
MOL000358,F10
MOL000358,TNF
MOL000358,PTGFR
MOL000358,PTGER3
MOL000358,PTGDR
MOL000358,TOP1
MOL000358,NR3C2
MOL000358,HIF1A
MOL000358,MAPK8
MOL000358,MAST3
MOL000358,DRD2
MOL000358,SRD5A2
MOL000358,CCR1
MOL000358,MGLL
MOL000358,DGAT1
MOL000449,NPC1L1
MOL000449,NR1H3
MOL000449,RORC
MOL000449,ESR1
MOL000449,ESR2
MOL000449,SHBG
MOL000449,SREBF2
MOL000449,HMGCR
MOL000449,CYP19A1
MOL000449,AR
MOL000449,CYP17A1
MOL000449,CYP51A1
MOL000449,RORA
MOL000449,CYP2C19
MOL000449,PTPN1
MOL000449,SERPINA6
MOL000449,G6PD
MOL000449,ACHE
MOL000449,SLC6A4
MOL000449,NR1I3
MOL000449,CHRM2
MOL000449,SLC6A2
MOL000449,BCHE
MOL000449,NR1H2
MOL000449,PTGER1
MOL000449,PTGER2
MOL000449,TBXAS1
MOL000449,PTGES
MOL000449,PPARA
MOL000449,PPARD
MOL000449,SQLE
MOL000449,VDR
MOL000449,DHCR7
MOL000449,PTPN6
MOL000449,PTPN2
MOL000449,FDFT1
MOL000449,HSD11B1
MOL000449,NOS2
MOL000449,PPARG
MOL000449,UGT2B7
MOL000449,GLRA1
MOL000449,POLB
MOL000449,PREP
MOL000449,PTGER4
MOL000449,IDO1
MOL000449,SIGMAR1
MOL000449,CES2
MOL000449,ATP12A
MOL000449,PTGIR
MOL000449,PDE4A
MOL000449,PDE4B
MOL000449,PDE4C
MOL000449,FABP4
MOL000449,TERT
MOL000449,FABP3
MOL000449,FABP5
