Mol_ID,Description,Gene_symbol
MOL000006,CD40 ligand,CD40LG
MOL000006,Kinetochore protein Nuf2,NUF2
MOL000006,Hepatocyte growth factor receptor,MET
MOL000006,Androgen receptor,AR
MOL000006,Adenylate cyclase type 2,ADCY2
MOL000006,Baculoviral IAP repeat-containing protein 5,BIRC5
MOL000006,Prostaglandin E synthase,PTGES
MOL000006,Heme oxygenase 1,HMOX1
MOL000006,Bcl-2-like protein 1,BCL2L1
MOL000006,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1
MOL000006,Caspase-7,CASP7
MOL000006,Proliferating cell nuclear antigen,PCNA
MOL000006,Peroxisome proliferator-activated receptor gamma,PPARG
MOL000006,Prostaglandin G/H synthase 1,PTGS1
MOL000006,G2/mitotic-specific cyclin-B1,CCNB1
MOL000006,Epidermal growth factor receptor,c-erbB
MOL000006,RAC-alpha serine/threonine-protein kinase,AKT1
MOL000006,Dipeptidyl peptidase IV,DPP4
MOL000006,G1/S-specific cyclin-D1,CCND1
MOL000006,Intercellular adhesion molecule 1,ICAM1
MOL000006,Insulin receptor,INSR
MOL000006,Receptor tyrosine-protein kinase erbB-2,ERBB2
MOL000006,NF-kappa-B inhibitor alpha,IkBa
MOL000006,Interferon gamma,IF2F
MOL000006,Vascular endothelial growth factor A,VEGFA
MOL000006,E3 ubiquitin-protein ligase Mdm2,MDM2
MOL000006,Tumor necrosis factor,STEAP4
MOL000006,Amyloid beta A4 protein,APP
MOL000006,DNA topoisomerase 2-alpha,TOP2A
MOL000006,Interstitial collagenase,MMP1
MOL000006,Glutathione S-transferase P,GSTP1
MOL000006,Caspase-9,CASP9
MOL000006,Retinoblastoma-associated protein,RB1
MOL000006,Trypsin-1,PRSS1
MOL000006,Cellular tumor antigen p53,p53
MOL000006,Prostaglandin G/H synthase 2,PTGS2
MOL000006,Interleukin-4,IL4
MOL000006,Tyrosinase,TYR
MOL000006,Nuclear receptor coactivator 2,NCOA2
MOL000006,Cell division protein kinase 4,CDK4
MOL000006,Caspase-3,CASP3
MOL000006,Transcription factor p65,RELA
MOL000006,Baculoviral IAP repeat-containing protein 4,XIAP
MOL000006,Xanthine dehydrogenase/oxidase,XDH
MOL000006,Interleukin-2,IL2
MOL000006,DNA topoisomerase 1,TOP1
MOL000006,Cyclin-dependent kinase inhibitor 1,CDKN1A
MOL000006,Interleukin-10,IL10
MOL000006,Mitogen-activated protein kinase 1,MAPK1
MOL000006,Interleukin-6,IL6
MOL000006,Matrix metalloproteinase-9,MMP9
MOL000006,72 kDa type IV collagenase,MMP2
MOL000358,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1
MOL000358,Dopamine D1 receptor,DRD1
MOL000358,Sodium channel protein type 5 subunit alpha,SCN5A
MOL000358,Beta-2 adrenergic receptor,ADRB2
MOL000358,Potassium voltage-gated channel subfamily H member 2,KCNH2
MOL000358,Alpha-1A adrenergic receptor,ADRA1A
MOL000358,Prostaglandin G/H synthase 2,PTGS2
MOL000358,Muscarinic acetylcholine receptor M3,CHRM3
MOL000358,Neuronal acetylcholine receptor subunit alpha-2,CHRNA2
MOL000358,Sodium-dependent serotonin transporter,SLC6A4
MOL000358,Muscarinic acetylcholine receptor M2,CHRM2
MOL000358,Microtubule-associated protein 2,MAP2
MOL000358,Muscarinic acetylcholine receptor M4,CHRM4
MOL000358,Nuclear receptor coactivator 2,NCOA2
MOL000358,Prostaglandin G/H synthase 1,PTGS1
MOL000358,Apoptosis regulator BAX,BAX
MOL000358,Caspase-3,CASP3
MOL000358,Alpha-1B adrenergic receptor,ADRA1B
MOL000358,Muscarinic acetylcholine receptor M1,CHRM1
MOL000358,Apoptosis regulator Bcl-2,BCL2
MOL000358,Caspase-9,CASP9
MOL000358,Progesterone receptor,PGR
MOL000358,Serum paraoxonase/arylesterase 1,PON1
MOL000358,Mu-type opioid receptor,OPRM1
MOL000358,Protein kinase C alpha type,PRKCA
MOL000358,Transforming growth factor beta-1,TGFB1
MOL000358,Caspase-8,CASP8
MOL000449,Sodium channel protein type 5 subunit alpha,SCN5A
MOL000449,Muscarinic acetylcholine receptor M3,CHRM3
MOL000449,Retinoic acid receptor RXR-alpha,RXRA
MOL000449,Beta-1 adrenergic receptor,ADRB1
MOL000449,Alpha-1A adrenergic receptor,ADRA1A
MOL000449,Nuclear receptor coactivator 2,NCOA2
MOL000449,Amine oxidase [flavin-containing] B,MAOB
MOL000449,Progesterone receptor,PGR
MOL000449,Amine oxidase [flavin-containing] A,MAOA
MOL000449,Prostaglandin G/H synthase 1,PTGS1
MOL000449,Leukotriene A-4 hydrolase,LTA4H
MOL000449,Urokinase-type plasminogen activator,ATF
MOL000449,Muscarinic acetylcholine receptor M1,CHRM1
MOL000449,Sodium-dependent noradrenaline transporter,SLC6A2
MOL000449,Mineralocorticoid receptor,NR3C2
MOL000449,Muscarinic acetylcholine receptor M2,CHRM2
MOL000449,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1
MOL000449,Chymotrypsinogen B,CTRB1
MOL000449,Alpha-2A adrenergic receptor,ADRA2A
MOL000449,Alcohol dehydrogenase 1C,ADH1C
MOL000449,Aldose reductase,AKR1B1
MOL000449,Nuclear receptor coactivator 1,NCOA1
MOL000449,Alpha-1B adrenergic receptor,ADRA1B
MOL000449,Prostaglandin G/H synthase 2,PTGS2
MOL000449,Ig gamma-1 chain C region,IGHG1
MOL000449,Sodium-dependent dopamine transporter,DAT1
MOL000449,Beta-2 adrenergic receptor,ADRB2
MOL005438,Prostaglandin G/H synthase 1,PTGS1
MOL005438,Prostaglandin G/H synthase 2,PTGS2
MOL005438,Nuclear receptor coactivator 2,NCOA2
